Zakład Mar-Bud Mariusz Orłowski #         zaklad.marbud@op.pl     #(89) 625 63 38
Usługi Budowlane Piotr Liedke #         piotrliedke66@gmail.com     #510 645 870
Raise Bud Sp. z o.o. #         raisebud01@gmail.com     #515 506 446
Piotr Pachucki Usługi Budowlano-Instalacyjne Deweloper #         piotrpachucki@wp.pl     #(89) 715 10 91
Piotr Jaworski Usługi ogólnobudowlane #         piotrjaworski7612@interia.eu     #603 712 255
Marek Guzikowski Andrzej Sielaszuk Spółka Jawna Przedsiębiorstwo Budowlane #         marek-guzikowski@wp.pl     #602 292 649
Usługi Remontowe Budowlane Przemysław Piskorz #         przeup@wp.pl     #730 500 830
Dom.Dari Dariusz Cychowski #         dom.dari@wp.pl     #604 163 019
Krzysztof Buczyński Usługi Ogólnobudowlane #         k.buczynski@vp.pl     #507 410 220
Rafał Litus #         rafalrafixx@gmail.com     #723 713 338
Fasada Adrian Mederski #         adrian_nml1304@wp.pl     #506 783 020
Zakład Remontowo-Budowlany Milewski #         eko.dach@tlen.pl     #506 179 789
Tolan PBHU Tomasz Buchalski #         tolan1@wp.pl     #504 071 724
Kar-Bud Zakład Handlowo-Usługowo-Budowlany Robert Usiak #         kar-bud55@wp.pl     #604 409 842
Tomal usługi remontowo-budowlane Tomasz Podwojewski #         tomasz-podwojewski@wp.pl     #600 270 724
Usługi Remontowo-Budowlane Adam Kossewski #         biuro@adamkossewski.pl     #608 225 006
Usługi Ogólnobudowlane Marek Płotast #         marekplotast@gmail.com     #694 673 225
Usługi Dekarsko-Budowlane Marcin Kaliński #         mkzkj@wp.pl     #789 040 575
Kts Ekspresowe Usługi Pogotowie Sprzątające 24h #         biuro@prof-uslugi.pl     #534 265 495
Biuro Projektów BPBW Sp. z o.o. #         info@bpbw.olsztyn.pl     #(89) 524 95 00
Konrad Makowski Usługi Czyszczenia Laserowego #         kontakt@laserydoortodoor.pl     #536 539 972
Czyste Miasto Grzegorz Puliński #         czyste.miasto.ol1@gmail.com     #668 819 031
Tanie Sprzątanie Gabriela Czajkowska #         taniesprzatanie1@o2.pl     #601 305 973
Sprzątanie Na Wezwanie Karolina Morenc #         karolinam1404@gmail.com     #798 459 197
Prof-Ex sp. z o.o. #         profexsp@gmail.com     #605 104 223
Pracownia Geodezyjno-Kartograficzna Geo-Statim Ludwik Suchocki #         biuro@geo-statim.pl     #513 971 715
Alpinic Usługi Alpinistyczne Marek Sobierajski #         kontakt@alpinic.pl     #608 395 390
Mop 83 Sp. z o.o. Józef Jankowski #         mop83@mop83.com.pl     #(55) 233 90 47
Home Dream Tomasz Święcikowski #         tomasz3132@wp.pl     #515 192 545
RAFIX-Renowacje #         rafix.jetwash@gmail.com     #795 446 447
Firma Sprzątająca - sprzątanie mieszkań i wspólnot Barbara Korbuszewska #         uslugi.korbuszewska@gmail.com     #784 233 048
Wyspa Czystości Usługi Sprzątania i Pielęgnacja Ogrodów Janina Nadzeika #         Czystosciwyspa@gmail.com     #516 699 324
Corn-Max Usługi Komunalne Monika Sokal #         monika.sokal17@gmail.com     #515 447 397
Czyścicielka Patrycja Mackiewicz #         czyscicielkapm@op.pl     #501 380 851
Korona Łukasz Dąbrowski #         dabrowskikorona@gmail.com     #885 332 331
Fimal Usługi Budowlane Andrzej Lipiński #         fimal83@wp.pl     #509 805 199
FHU KONKRET Małgorzata Moszczyńska #         gutkowo@interia.pl     #605 104 223
Usługi Sprzątające Joanna Waćkowska #         jwackowska@wp.pl     #603 706 167
Agnieszka Baczewska #         agnieszkabacz1988@gmail.com     #518 508 293
Ernest Gamrat Usługi podnośnikiem koszowym wycinka drzew #         ernestgamrat@onet.pl     #791 860 560
Aga Usługi Remontowo Budowlane Roman Bartkowski #         romanb62@wp.pl     #608 356 390
Wierchy s.c. #         wierchy.sp@wp.pl     #691 911 901
Norbert Szostakowski Usługi Remontowo-Budowlane i Elektryczne #         norbertszostakowski@gmail.com     #500 108 335
Wim Sp. z o.o. PHU #         wim@wim.olsztyn.pl     #(89) 539 14 14
Izo-Planet Łukasz Woźnowski #         kontakt@izoplanet.pl     #531 653 529
Krzysztof Kłos Firma Usługowa Podnośniki Koszowe #         klosak@interia.pl     #530 855 886
Tomasz Jerzy Ignatiuk Tom-art Design Firma Usługowo-budowlana #         tomart1@op.pl     #509 839 668
Lubtech Sp. z o.o. Przedsiębiorstwo budowlano-montażowe #         lubtech@lubtech.pl     #(89) 645 56 08
ABN Czerniawscy Dawid Czerniawski #         sprzatanie@abn.com.pl     #(89) 527 72 12
Activ Justyna Grabowska #         justyna.grabowska2@wp.pl     #604 946 652
Adam Latoszewski Adrom - Bud #         latoszki@wp.pl     #791 498 576
Adam Stadnik Przedsiębiorstwo Usługowe #         adam-a97@wp.pl     #516 099 409
