Prod - Mas Sylwia Iciek #         prodmas@interia.pl     #(33) 877 14 25
Gastrochem-Serwis Tadeusz Jamka #         biuro@gastrochem-serwis.pl     #502 169 779
ASO Gastronomia #         biuro@asogastronomia.pl     #(12) 637 40 78
Gastro Borowiec Dawid Borowiec #         biuro@gastroborowiec.pl     #503 753 949
Cafe Bar Hades #         bogdan.piechnik@interia.pl     #(12) 271 44 14
Bentto Przemysław Dutkiewicz #         bentto@onet.eu     #602 270 903
Subiekt Serwis Sławomir Brożek #         biuro@subiektserwis.pl     #(14) 627 76 35
Petrus Serwis Agnieszka Janas #         sklep@petrusserwis.pl     #661 335 277
DS Serwis Damian Suruło #         d.surulo@gmail.com     #504 918 648
Corner Robert Bojarski, Bogusław Malski Spółka jawna #         corner@corner.com.pl     #(14) 621 46 61
Retman Łukasz Wiśniewski Zaopatrzenie i Wyposażenie Gastronomiczne #         biuro@retman.net.pl     #728 502 622
Dakz Damian Postawa #         biuro@dakz.pl     #664 774 383
At Gastrobud Andrzej Tarchała #         andrzejtarchala@gmail.com     #798 077 725
Cukiernia,Kawiarnia - Cafe Breizh-Rid #         cafebreizhrid@gmail.com     #575 288 993
Feniks Gastronomia Sylwester Sekunda #         kontakt@feniksklub.com     #604 234 288
Natali Hrom Sp. z o.o. #         natalinatali0712@gmail.com     #576 659 063
Krakowska Spółdzielnia Gastronomiczna #         ksg.krakowsekretariat@interia.pl     #(12) 421 18 28
Producent Reklam Monster Art Arkadiusz Bachul #         hey@monsterart.pl     #791 551 660
Restauracja - Smak Ukraiński #         restauracja@ukrainska.pl     #(12) 421 92 94
Tomasz Coufał Restauracje I Katering Karmnik #         biuro@kateringkarmnik.pl     #600 533 133
Restauracja Q Sushi Bar Jedzenie japońskie #         kontakt@q-sushi.pl     #881 243 243
Izba Gaździny #         mackum82@gmail.com     #(18) 300 04 95
Restauracja OCH - Sala bankietowa #         biuro@restauracjaoch.pl     #696 566 260
Lunch Bar i Pizzeria Wolański #         mariusz677@op.pl     #(12) 636 27 96
Dratewka Burger Street Food #         dratewka@gmail.com     #698 790 191
Malinowy Las Restauracja #         restauracja@malinowylas.pl     #(33) 845 36 02
Obiadkownia pod 13 #         figiolek@wp.pl     #787 262 427
Zakład Mechaniczno Spawalniczy MUS Wojciech Kupiński #         biuro@zmsmus.com.pl     #728 440 047
Szałas Holny s.c. Stachoń-Koszarek Stanisława, Lipień Dorota #         rezerwacja@holny.zakopane.biz     #(18) 207 08 23
And-Eko Andrzej Chlebicki #         and_eko@wp.pl     #508 401 322
As Porcelana Piotr Sproncel FH #         biuro@fhas.pl     #662 179 640
Mawi Urządzenia Chłodnicze #         office@mawi-poland.pl     #(14) 611 61 07
Hot Wyspa #         gochamir@o2.pl     #798 999 558
Krakowskie Klimaty Kuchnia Polska #         krakowskieklimaty@interia.eu     #602 271 492
Mawex-Eko Mateusz Węgrzyn, Gabriel Hertrich-Woleński sp.j. #         biuro@mawex-eko.pl     #512 462 835
Jadwiga Smoleń #         ryszard55@onet.pl     #668 761 917
Firma handlowa Czuba Jan #         janczuba@op.pl     #601 848 692
Ryza FH Mariusz Krzak #         ryza@op.pl     #602 374 942
Firma Kojs Mirosław Kojs #         biuro@kabanos.biz.pl     #(18) 261 19 35
Dorota Wyjadłowska Kancelaria doradztwa podatkowego #         dorota@wyjadlowska.pl     #(12) 294 63 26
Art Artur Grodziński #         art.tarnow@wp.pl     #(14) 628 84 44
Aquatic Mirosław Foryś #         pralnia.aquatic@gmail.com     #600 679 463
Firma Kabanos Kojs Mirosław i Joanna Kojs-Kowalczyk Spółka Jawna Przepyszne Wędliny To Nasza Specjalność #         biuro@kabanos.biz.pl     #661 303 251
Sarana Sp. z o.o. #         biuro@sarana.com.pl     #(12) 276 23 77
The Artist Antyki. Ebenisteria #         ae.krakow@interia.eu     #737 539 340
Polański Sp.j. Kasy fiskalne Oprogramowanie #         polanski@polanski.com.pl     #(18) 264 84 49
Badyl Partner Dawiec Miśkowiec Sp.j. #         dagmara@badylpartner.pl     #604 452 042
Bms-G Sp. z o.o. #         pawlikowice@bmsg.pl     #(12) 288 16 60
Ela PPHU Art. Spoż. Przemysłowe Andrzej Dobrzyński #         ela.nowytarg@interia.pl     #508 167 120
Marek Wójcik Pracownia architektoniczna #         pracownia.wojcik@gmail.com     #502 430 628
Eco Power Clear Sodowanie Piaskowanie Marcin Siaśkiewicz #         sodowanie.org@gmail.com     #509 510 196
Pro-Term Mirosław Syc #         sycm@wp.pl     #501 523 546
PHU Zofia Giemzik Odzież Robocza Pokrowce Samochodowe #         sklep@giemzik.pl     #(18) 442 94 34
Ewa Dudkowska-Strojny Komercel #         ewa@komercel.pl     #509 214 780
Jerzy Kargul FHU Hurt Warzyw i Owoców #         jerzykargul@interia.pl     #(14) 611 69 50
Audyt Energetyczny Certyfikaty Energetyczne Mateusz Roś #         mateuszr768@gmail.com     #532 443 009
Grzegorz Turaj Serwis Urządzeń Elektro-Mechanicznych Chłodnictwo-Klimatyzacja #         grzegorz.turaj@onet.eu     #606 310 797
Cubicform Architektura Jakub Kafel #         kontakt@cubicform.pl     #500 520 516
Janusz Trojan Firma produkcyjno-handlowa Łysa Góra Spółka komandytowa #         piekarnia@lysa-gora.eu     #(12) 280 78 43
Piekarnia Na Ogrodowej Aleksander Gładysz #         aleksander.gladysz@gmail.com     #(41) 383 49 68
Magur Michał Magiera #         magur.warzywa@gmail.com     #792 837 408
Gazbud Bis Mirosław Kowalczyk #         gazbud2@o2.pl     #502 647 140
1. Schronisko-Bufet Gastronomiczny Krzysztof Knofliczek; 2. Firma Transportowo-Remontowo-Budowlana. Przewóz Osób Krzysztof Knofliczek ##(18) 267 64 35
13-stka Kawiarnia Krzysztof Ślusarczyk ##509 455 037
13-Tka Magdalena Kusek Fh #         mkusek33@gmail.com     #Oceń firmę i napisz o niej opinię:
2B Organic Stefańczyk &amp; Mej-Harłacz Sp.j. ##501 787 445
2okna Budziło i Rudek Sp.j. ##602 392 196
77 sushi Restauracja ##(12) 421 10 94
A &amp; A Studio Ogrody Wnętrza Anna Krzyżanowska ##505 260 728
A Dong Sp.j. Restauracja ##(12) 656 48 72
A Nóż Pierożek &amp; Studenckie Gastro Jakub Białek ##508 743 460
a Nóż Pierożek Natalia Pasek Bistro #         a.nozpierozek@o2.pl     #Oceń firmę i napisz o niej opinię:
A. Różycka i P. Skrzek Smaki Roślinne S.C. ##535 810 406
Aba-2 Sp. z o.o. ##(33) 842 65 46
ABC Sp.j. Firma Handlowa Krzysztof Bobula i Andrzej Bobula #         sekretariat@grupa-abc.com.pl     #(12) 425 41 50
Abis FPHU Beata Augustyn #         stanislaw.augustyn@op.pl     #Oceń firmę i napisz o niej opinię:
Absar Barbara Sarnat ##(12) 346 45 45
Accademia F&amp;F Inwestycje Sp. z o.o. Sp.k. ##(12) 422 18 71
Action Group Sp. z o.o. ##667 376 945
Adam Dubiel Nova #         adam.dubiel@op.pl     #883 882 178
Adam Gubała Agubała ##888 445 336
Adam Janus #         adamjanus13@wp.pl     #693 408 631
Adam Rynduch Firma Handlowa Elizabet ##602 497 614
Adamant Invest Sp. z o.o. #         kowaczigor@op.pl     #Oceń firmę i napisz o niej opinię:
Adimal Sp. z o.o. ##605 838 553
Adong Restauracja #         adong.krakow@wp.pl     #(12) 285 85 80
Adong Restauracja ##(12) 626 10 30
Adria Restauracja A. Wojnar R. Zaręba S.C. #         adria-andrychow@wp.pl     #(33) 875 29 32
Adrian Niziołek Adris-Plus #         adrianniziolek@gmail.com     #Oceń firmę i napisz o niej opinię:
Adrianna Saternus Luna Usługi Gastronomiczne #         borgtouchde@gmail.com     #Oceń firmę i napisz o niej opinię:
Adris Firma Handlowo-Gastronomiczna Restauracja Dunajec ##(18) 266 23 51
Agat S.C. Karczma U Piotra ##(18) 268 22 44
Agat S.C. Krystyna Walczak ##(18) 268 22 44
Agata Dembek-Dziwosz Rami Muszyński Mezzalians S.C. #         mezzalians.bistro@gmail.com     #514 257 905
Agawa Restauracja ##(14) 652 47 69
Agiw Sp. z o.o. Sp.k. #         biuro@agiwgastro.com     #(12) 265 10 19
Agnieszka Harmaj ##604 084 900
Agnieszka Janicka Jota ##502 781 348
Agnieszka Kondracka- Karuzela #         kondracka.aga@gmail.com     #Oceń firmę i napisz o niej opinię:
Agnieszka Łozińska Firma Handlowa Abv #         fhuvaldi@wp.pl     #Oceń firmę i napisz o niej opinię:
Agnieszka Malarczyk Eco-G.A.J Catering #         aga2891@interia.eu     #Oceń firmę i napisz o niej opinię:
Agu Bogdan Balicki ##(12) 656 36 70
Aifo Components Sp. z o.o. Sp. K.A. ##(14) 611 32 20
Ajdis Firma Handlowo-Usługowa Gastronomiczna Pizzeria Metrum Iwona Skrzelowska ##660 046 089
Akacja S.C. Gut Magdalena Jadwiga Totoń Renata Bar Gastronomiczny ##(32) 627 11 58
Akademia Lokalnej Kuchni Zufi Aneta Kula #         anetakula@op.pl     #604 987 169
Akart Artur Kiszka #         restauracja@restauracjaodyseja.pl     #(32) 626 08 44
Akita Ramen Justyna Cichoń #         akitarestaurants@gmail.com     #Oceń firmę i napisz o niej opinię:
Al. Capone Sp. z o.o. #         s.skowron@alejacapone.pl     #510 136 438
Alba Plus Krzysztof Lercel Filip Lercel S.C. #         albaplus@onet.pl     #(12) 413 83 61
Albert Merchut Alaga #         almerchut@interia.pl     #(12) 270 87 41
Albert Witek Usługi Gastronomiczne Witek #         restropasja@gmail.com     #Oceń firmę i napisz o niej opinię:
Alchemia od Kuchni ##(12) 421 22 00
Aldi Bar Gastronomiczny Renata Nowak ##(32) 642 45 75
Aleksandra Sioła Adrian Deleska Prima-Rolls S.C. #         alexandrasiola@op.pl     #500 762 427
Alex S.C. Restauracja M. Kulig A. Kulig ##(18) 443 11 62
Alexandra Restauracja ##502 070 473
Alfa Restauracja Jan Janik #         domweselnyalfa2@op.pl     #(18) 443 27 53
Alfa Restauracja Jolanta Czepiel ##660 752 561
Alibi Restauracja Cafe Grill Bar #         krisalibi@poczta.fm     #(12) 636 26 34
Alicja Adamus #         kleynik@op.pl     #(12) 291 03 33
Alicja Łopata Firma Handlowa Alimot ##(33) 877 39 63
Alina Kuś Manhattan ##504 032 811
