##test
Restauracja-Motel Zielony Dworek #         restauracja@zielony-dworek.pl     #(81) 825 08 80
Hotelik Gościnny Jadwiga Sak #         hotelik.radzyn.podlaski@gmail.com     #501 534 206
ABC F.H. Dariusz Blicharz ##(84) 686 76 20
Agit Hotel Congress &amp; SPA Agnieszka Rydz ##721 103 300
Agit Hotel Konferencje ##(81) 532 77 77
Andy Max Sp. z o.o. #         recepcja@hotelkazimierski.pl     #(81) 881 55 00
Anpol S.C. Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Józef i Teresa Grzywa Hotel Czar Polesia ##(82) 572 45 74
Arkadia Hotel i Restauracja ##(84) 665 79 30
ARTIS**** Hotel Zamość ##(84) 677 22 00
AS Sp. z o.o. Hotel ##(83) 344 33 33
Babie Lato #         info@babielato.eu     #669 460 660
Browar Sulewski #         recepcja@browarsulewski.pl     #(84) 618 37 07
Bursztynowy Hotel ##501 345 634
Centrum Konferencyjno-Hotelowe Alex #         recepcja@hotel-alex.pl     #846 272 711
Centrum Szkoleniowo Wypoczynkowe DUO&#039;&#039; Iwona Piłat-Rząd ##(15) 872 28 80
DB 2000 Motel-Restauracja ##(84) 686 76 20
Delfin Sp. z o.o. Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ##(83) 344 51 41
Dodo Hotel #         recepcja@hoteldodo.com.pl     #(84) 686 59 59
Dom u Profesora #         mpolkowski82@wp.pl     #605 386 161
Eden Pokoje Gościnne Irena i Stanisław Jaroccy ##(83) 342 61 91
Eko-Farma Żelechów Sp. z o.o. #         biuro@ekofarmazelechow.pl     #728 834 900
Energetyk Centrum Szkoleniowo-Wypoczynkowe #         recepcja@cswenergetyk.lublin.pl     #(81) 501 46 04
Europejski Ośrodek Integracyjny #         biuro@integracyjny-niemce.pl     #(81) 756 17 64
Finezja Cukiernia Pelagia Buchajska ##(81) 468 65 15
Finezja Hotel i Kawiarnia Pelagia Buchajska ##(81) 468 65 15
Firma Wielobranżowa Korona Kazimierz Rosiński #         hotelik@korona.lukow.pl     #(25) 798 41 15
GBP - Mateusz Gątnicki #         mateuszgatnicki@gmail.com     #504 957 275
Grand Hotel Lublinianka Sp. z o.o. ##(81) 446 61 00
Hotel Alter #         recepcja@hotelalter.pl     #(81) 516 90 90
Hotel Antoni #         biuro@hotelantoni.pl     #(84) 666 01 80
Hotel Capitol ##(83) 344 23 58
Hotel Dodo #         recepcja@hoteldodo.com.pl     #(84) 686 59 59
Hotel Etiuda #         recepcja@hoteletiuda.pl     #(81) 718 70 00
Hotel Focus Centrum Konferencyjne #         skowronkowa@hotelfocus.pl     #(81) 466 70 66
Hotel HUZAR *** ##(81) 533 05 36
Hotel i Restauracja DWA KSIĘŻYCE #         recepcja@dwaksiezyce.com.pl     #504 234 222
Locomotiva #         loco.motiva@interia.pl     #516 056 057
Hotel Kamena #         hotel@hotelkamena.pl     #(82) 565 64 01
Hotel Kamena Sp. z o.o. #         hotel@hotelkamena.pl     #(82) 565 64 01
Hotel Korona #         rezerwacja@hotel-korona.com     #(81) 503 20 03
Hotel Koronny #         info@koronny.pl     #(84) 677 71 00
Hotel Kozak ##(82) 564 88 91
Hotel Królewski #         biuro@hotelkrolewski.com.pl     #Oceń firmę i napisz o niej opinię:
Hotel Lachówka ##(81) 751 60 09
Hotel Lwów #         hotel_lwow@prokonto.pl     #(81) 745 57 09
Hotel Mercure ##(81) 533 20 61
Hotel Mixbud #         hotel@mixbud.com.pl     #(83) 343 29 60
Hotel Notabene ##(81) 469 25 00
Hotel Polesie #         info@hotelpolesie.pl     #(83) 355 98 55
Hotel Przepióreczka ##(81) 501 41 29
Hotel Przepióreczka Sp. z o.o. ##(81) 444 12 06
Hotel Przystań #         info@wierzchowiska.pl     #(81) 744 10 97
Hotel Restauracja President #         info@presidentkock.pl     #510 764 779
Hotel Rota #         autofel@wp.pl     #602 784 777
Hotel Słowik Restauracja Waldemar Słowik #         info@hotel-slowik.pl     #(81) 820 41 61
Hotel Staromiejski S.C. A. Hendigery Ewa Hendigery Zbigniew Hendigery ##(82) 576 03 04
Hotel Wieniawski #         info@hotelwieniawski.pl     #(81) 459 92 00
Hotelik #         mak_an@interia.pl     #(83) 311 11 09
Hotelik Gościnny Jadwiga Sak #         hotelik.radzyn.podlaski@gmail.com     #(83) 352 20 31
Hotelik Oliwia Anna Rosińska ##(81) 820 40 53
Skrzypek Ewa PPHU #         j.skrzypek24@gmail.com     #603 644 844
Izabella Sp. z o.o. #         hotel.izabella@op.pl     #(81) 886 30 41
Jedlina Hotel #         info@hoteljedlina.pl     #(81) 503 19 19
Jedlina Sp. z o.o. w Organizacji #         info@hoteljedlina.pl     #Oceń firmę i napisz o niej opinię:
Junior Hotel ##(84) 638 66 15
Karczma Zamojszczyzna #         biuro@karczmazamojszczyzna.pl     #(84) 638 86 88
Kasieńka Hotel Restauracja ##504 283 143
Kazimierzówka Hotel Marek Biłyk ##(81) 804 13 87
Kmicic Hotel &amp; Restauracja #         rezerwacje@kmicichotel.pl     #(81) 750 00 99
Kraina Nad Tanwią #         poczta@nadtanwia.pl     #662 237 305
Las Vegas Hotel Bogusław Borkowicz #         hotniedzwiadek@tlen.pl     #(83) 371 41 30
Leon Sp. z o.o. Hotel ##(83) 343 54 71
Logos Hotel #         recepcja@hotellogos.lublin.pl     #(81) 533 82 85
Lubelski Ośrodek Doradztwa Rolniczego w Końskowoli Ośrodek Szkoleniowo-Wystawienniczy ##(83) 343 37 92
Lublin Hotels #         info@hotels-lublin.pl     #(81) 444 42 40
Luxor Hotels Sp. z o.o. Sp.k. #         recepcja@hotelluxor.pl     #887 185 185
Manhatan S.C. Usługi Hotelarsko-Gastronomiczne #         kontakt@hotelmanhatan.pl     #(83) 352 27 80
Maria Hotel Maria i Marian Zarczuk #         hotel_maria@interia.pl     #(82) 563 23 49
Marina Hotel &amp; Resort #         hotel@marinanielisz.pl     #(84) 631 27 18
Mario Mariusz Kowalczyk - Hotel Luxor ##887 165 165
Marta Zajazd ##(81) 821 15 80
Młyn Hotel Restauracja ##(81) 536 70 20
Montis Hotel #         recepcja@hotelmontis.pl     #(81) 820 55 26
Motel Polak Restauracja Leszek Polakowski ##(84) 638 30 01
Myśliwski Hotel #         hotelmysliwski@poczta.onet.pl     #(15) 872 00 80
Na Rogatce S.C. Paweł Słonczewski i Mariusz Popko #         narogatce@wp.pl     #(81) 536 00 70
Nadleśnictwo ##(15) 872 00 72
Niedźwiadek Hotel Bogusław Borkowicz #         niedzwiadek@gmail.com     #(83) 352 05 47
Nowa Aleksandria Restauracja #         rezerwacja@hotelpikul.pl     #(81) 888 22 60
Oddział Puławski PTTK w Puławach #         bortpttk.pulawy@wp.pl     #Oceń firmę i napisz o niej opinię:
Orbis S.A. Oddział Hotel Zamojski #         zamojski@orbis.pl     #(84) 639 25 16
Orion Hotel Restauracja #         polmod@poczta.fm     #506 719 513
Orzeł Firma Handlowo-Usługowa Zajazd Orzeł #         zajazdorzel@zajazdorzel.pl     #(84) 638 40 15
Ośrodek Karlik #         rufin6@wp.pl     #(81) 882 11 66
Ośrodek Medyczny DMP Sp. z o.o. Kompleks Restauracyjno-Noclegowy Rubikon ##(81) 710 14 00
Ośrodek Medyczny DMP Sp. z o.o. Ośrodek Wypoczynkowy Raczek ##(81) 757 00 35
Ośrodek Wypoczynkowo-Szkoleniowy Zajazd Zacisze ##600 198 100
Panorama Sp. z o.o. ##(82) 571 70 25
Parster Sp. z o.o. Hotel #         parster@parster.pl     #(83) 355 14 93
P.H. LUZAM Wójtowicz Lucjan Hotel Carskie Koszary #         hotel@hotelcarskiekoszary.pl     #(84) 530 39 12
P.H.U. Inwod Motel ##(81) 464 41 08
Pikul Hotel ##(81) 888 22 60
