Serwis Domowy inż. Piotr Główczyński #         serwis.domowy79@gmail.com     #669 103 234
##test
Zakład Usług Inżynierskich Inrel Sp. z o.o. Sp.k. #         grzegorz.kurpeta@inrel.pl     #728 349 954
Firma Atline Sp. j. #         info@atline.pl     #(42) 236 30 19
Electronics Box Sp. z o.o. #         sklep@ebx.pl     #(42) 665 08 00
Uruchomienia.Eu Spółka z ograniczoną odpowiedzialnością #         info@uruchomienia.eu     #(42) 239 00 00
Klima-Ben #         biuro@klima-ben.pl     #510 117 414
Igllo Klimatyzacja &amp; Rekuperacja Marcin Olejnik #         info@igllo.pl     #512 852 959
Fan Piotr Brzeziński #         fan@klimatyzacja.lodz.pl     #(42) 611 12 10
Piotr Główczyński inż. Serwis domowy #         serwis.domowy79@gmail.com     #669 103 234
Cold-Center Rafał Morawski #         cold-center@o2.pl     #661 072 848
ASD. Systemy alarmowe, ppoż., telewizja przemysłowa #         biuro@asd.pl     #(42) 656 43 05
Tom Styk Tomasz Golec #         tgolec6@gmail.com     #885 447 618
Senerga Serwis Paweł Rajski #         pawel.rajski@senerga.pl     #506 925 466
Rinstal Robert Bartoszewski #         rinstal@op.pl     #605 608 160
A-Pic-Design. Producent pomp ciepła #         biuro@a-pic.pl     #(46) 892 11 41
Pi-Energa Janusz Ciepłuch #         janusz.ciepluch@pi-energa.pl     #609 115 111
TKT Auto-Gaz Tomasz Nejman #         tktautogaz@wp.pl     #691 332 331
Terwo sp.j. #         terwo@post.pl     #(42) 636 66 02
Plus Minus Tomasz Grabarczyk #         plus.minus.lodz@gmail.com     #696 244 226
P.M.A.D. Marcin Olejniczak #         p.m.a.d.marcinolejniczak@gmail.com     #500 002 591
Bt Technic Tomasz Urbańczyk #         biuro@bttechnic.pl     #(44) 788 45 29
Adrian Wójtowicz Usługi Elektryczne #         adrianwojtowicz94@wp.pl     #723 522 544
Trakcja-pl Paweł Lubicki #         plubicki@o2.pl     #507 756 174
Elwit Witold Milczarczyk #         mwitold72@wp.pl     #505 521 091
Mój klimat Maciej Błaszczyk #         biuro@moj-klimat.pl     #603 217 412
MR INSTAL Sp.j. #         biuro@mrinstal.pl     #(42) 278 70 52
Klimanovum #         klimanovum@wp.pl     #792 432 145
Sanimet PHU Grzegorz Strąkowski #         sanimet@sanimet.com.pl     #(42) 718 72 81
Ola Zakład Remontowo Budowlany Jarosław Woch #         wooooch@gmail.com     #510 311 107
Alarm-Tel Risto Stojanow #         alarmtel2010@gmail.com     #501 785 145
Galaxy-Motors Wiktor Łukaszewicz #         victorlimo@o2.pl     #601 051 159
Instal Max Instalatorstwo Elektryczne i Pomiary Ryszard Wojtyżak #         instalatorstwo.r.w@onet.eu     #501 725 299
Klima Majster Miłosz Świercz #         klimamajster.ms@gmail.com     #605 171 847
Łukasz Kobiera Elektryk #         kobiera321@gmail.com     #721 769 157
Rad-El Serwis, Usługi Elektryczne Jakub Radwański #         serwis.rad_el22@interia.pl     #783 024 059
Perfekt Zakład Produkcyjno-Handlowo-Usługowy S.C. Grażyna Forgacz, Michał Forgacz ##601 305 711
Usługi Elektryczne Dariusz Cecotka #         dariusz.cecotka@op.pl     #604 985 868
All-Instal Usługi Instalacyjne Marcin Chwaliński #         marcin.chwalinski@wp.pl     #667 216 749
Instalacje elektryczne, Elektro-Mark Paprocki Marek. #         brak     #511 281 264
Best-Instal Instalacje elektryczne domowe i przemysłowe #         elektryktomaszowm@gmail.com     #575 230 146
Kris PPHU Krzysztof Pogocki #         krzysztof-pogocki@tlen.pl     #601 325 306
Kamil Anteczek Antek #         Kamil1181@op.pl     #782 504 227
Solar Tech Pv Łukasz Cieślak #         solarpropv@gmail.com     #609 976 791
Stanisław Kocik Elektroinstalatorstwo #         el_stas@toya.net.pl     #601 383 059
Senterm Mariusz Senator #         mariuszsenator86@gmail.com     #576 587 280
Teraz Witold Szymaniak #         teraz@terazgaz.pl     #501 084 240
Klima-Pop Zbigniew Popkowski #         biuro@klimapop.com.pl     #691 376 174
Elektrobud Instalatorstwo Elektryczne Projekty Przyłącza #         elektrobud@marianjanas.pl     #(43) 675 24 28
Zakład Instalacji Sanitarnych i c.o. Link Wiesław #         zaklad.instalacji.link@gmail.com     #601 394 718
Zakład Specjalistycznych Robót Elektrycznych Krzysztof Wadlewski #         wadlewski@wp.pl     #600 267 341
CSL Service Damian Pietrasik #         d.pietrasik146@gmail.com     #725 025 002
Glob Instal Woźniak Mariusz #         sekretariat@globinstal.com.pl     #739 202 082
C. O. Serwis, Serwis Ogrzewania, Serwis Kotłów Szczepan Słomski #         szczepan.slomski@wp.pl     #608 401 374
Ap Chłodnictwo Łukasz Siemiński #         kontakt@apchlodnictwo.pl     #605 492 600
Kamil Piesik Ekowatt #         cam-pie77@wp.pl     #792 722 665
Aleksander Zwierzyński Elektromechanika #         elektromechanika56@wp.pl     #(44) 683 48 46
Euro-gaz Plus Sp. z o.o. #         biuro@eurogazplus.com     #695 189 323
Zuh Elmoc Małgorzata Mocna #         elmoc@onet.pl     #500 214 081
Phu Michał Kolis Montaż Samochodowych Instalacji Gazowych #         mkolis@o2.pl     #607 988 257
Gaz Marko Mariusz Donajko #         gazmarko@gmail.com     #(42) 674 59 58
Volttel Elektro Serwis Alarmy, Automatyka Do Bram, Instalacje Elektryczne, Domofony Adam Głuszczyk #         volttel.lodz@gmail.com     #505 666 085
Solarprojekt Construction sp. z o.o. sp. k. #         biuro@solarprojekt.pl     #691 982 066
S2M Polska sp. z o.o. #         biuro@s2mpolska.pl     #(42) 719 99 02
BIPROINSTAL Sp. z.o.o. ##514 908 159
Kombud Rafał Marciniak ##514 908 159
M.T.J. Piekarscy sc Tomasz Piekarski Jarosław Piekarski #         biuro@mtjpiekarscy.pl     #(42) 671 45 43
Mgbs Sp. z o.o. #         biuro@mgbs.pl     #517 142 990
AQ Wiring Systems Spółka z ograniczoną odpowiedzialnością #         aqwl@aqg.se     #(42) 676 06 61
Gal-Gaz Galewice Sp. z o.o. Sp.k. #         info@gal-gaz.pl     #(62) 783 82 88
Karso Instalacje sanitarne i obsługa sieci wodno-kanalizacyjnych Sobczyk Karolina #         karso@karso.pl     #694 917 825
Dariusz Mruk Auto Serwis #         dariuszmruk@wp.pl     #501 304 049
Nibco Sp. z o. o. #         nibco@nibco.com.pl     #(42) 677 56 00
Roc-Went Instalacje Adam Niedzielski #         adam.niedzielski@wp.pl     #505 344 763
Hydrofire Kompleksowa ochrona przeciwpożarowa Piotr Szewczyk #         piotr.j.szewczyk@gmail.com     #512 137 117
PPHU Andrema Mariusz Babuca #         mbabuca@wp.pl     #601 351 457
Alkam Elektro s.c. Albert Stępiński, Kamil Rogoś #         alkam@alkamelektro.pl     #506 416 556
Kompas Usługi Geodezyjne Geodeta Łukasz Gwadera #         biuro@kompas3d.pl     #794 500 560
Veolia Energia Łódź S.A. #         veolialodz@veolia.com     #(42) 675 50 00
Montex Technika Grzewcza Sanitarna i Wentylacyjna Tadeusz Zieliński #         biuro@montex.org.pl     #509 539 543
Zarządzanie Nieruchomościami K.R. Kurpisz Roman #         zarzadzaniesieradz@wp.pl     #(43) 826 04 59
Budowa Więckowski #         wieckowski.d@interia.pl     #601 299 642
Grzegorz Polasiński PHU Grześpol #         grzespol@op.pl     #606 986 460
INSTALROM Pracownia Projektowania Instalacji Sanitarnych #         biuro@instalrom.com.pl     #602 318 783
Jakub Dąbrowski Wynajem maszyn budowlanych #         dabrowski000@wp.pl     #600 254 044
Studnio Wiert Krzysztof Jan Młynarski #         krzysiek.mlynarski@onet.pl     #798 678 567
BarTerm Jarosław Barwaśny #         biuro@barterm.pl     #697 439 087
PHU Iz-Prim Przemysław Kuśmierek #         izprim@interia.pl     #514 318 862
Comcar Zakład handlowo usługowy Dariusz Paś #         darek.pas@wp.pl     #792 364 661
Eko Prime Inwestycje Sp. z o.o. #         biuro@ekoprime.pl     #537 509 510
Tytan Fotowoltaika,Pompy Ciepła Odnawialne Źródła Energii #         tytanco@o2.pl     #601 565 656
Olitom Zabezpieczenia przeciwpożarowe Tomasz Żórawski #         biuroolitom@gmail.com     #(44) 732 66 15
TKT Tomasz Nejman #         tktautogaz@wp.pl     #691 332 331
Jacek Ciupa Mechanika i Blacharstwo Pojazdowe #         eq.jacek@op.pl     #505 144 104
Koch Kotły c.o. Damian Koch #         damiankoch@op.pl     #501 574 377
Telmix GSM #         kostek1718@wp.pl     #692 321 160
Proinbud Biuro Projektów i Obsługi Inwestycji Agnieszka Wawrzak #         proinbud@o2.pl     #602 531 243
Alpinros Daniel Rosiński #         kontakt@alpinros.pl     #793 007 091
Hydropex Adrian Góralczyk #         hydropex.goralczyk@gmail.com     #785 703 889
Energia Słońca #         kontakt@energiaslonca.pl     #692 421 717
Clim-Team #         biuro@climteam.pl     #533 244 515
Instalacje Wodno-Kanalizacyjne Adam Juszczak #         a.juszczakhydraulik@gmail.com     #663 789 720
Framikop Prace ziemne, wyburzenia i rozbiórki #         framikop@poczta.fm     #604 081 182
Domi Komin Usługi kominiarskie Łukasz Domińczyk #         lodz.kominiarz@gmail.com     #789 236 987
Eko-Therm Robert Zygała #         robert.zygala@tlen.pl     #508 645 999
Active Green Power Paweł Woźniak #         activegreenpower@gmail.com     #790 821 125
A-Z Instal Rafał Bajerski #         biuro@azinstal.com.pl     #603 952 579
Szambelan #         biuro@ptuszambelan.pl     #502 772 339
PHU Fotowoltaika Tomasz Sobola ##511 682 670
Danielewski Piotr Danielewski #         piotrdanielewski@o2.pl     #510 086 070
Largo Energy Sp. z o.o. #         biuro@largoenergy.pl     #530 830 690
GOKIMA - Klimatyzacja i Pompy Ciepła #         gokima@o2.pl     #724 573 234
Walmax Usługi hydrauliczne Bobrow Waldemar #         hydraulikawb@interia.pl     #608 636 924
TMK System Tomasz Cent #         biuro@tmksystem.pl     #519 170 622
ATC-SOLAR S.C. Aleksander Owczarek, Cyprian Gałaj #         c.galaj@atc-solar.pl     #793 280 634
M&amp;M - BUD Marcin Jałocha #         m.jalochammbud@gmail.com     #533 290 190
P.H.U. Fotowoltaika Daniel Stępień #         xxdaniel18@gmail.com     #571 902 756
Idanet Maciej Idaczyk #         kontakt@idanet.pl     #606 817 707
FH Volt Agnieszka Skonieczka #         lagnes@poczta.fm     #(42) 718 26 97
Complex-Bud Krzysztof Bobrowski #         complexbud.lodz@tlen.pl     #665 644 894
Andrzej Kuliś Hydro-Kul #         andrzejkulis81@interia.pl     #691 503 653
Jarząb Usługi Remontowe, Wykańczanie Wnętrz Grzegorz Jarzębski #         grzegorzjarzebski@o2.pl     #698 628 784
Standard Polish Enterprise Spe Imex Sp. z o.o. #         biuro@speimex.pl     #(42) 611 25 90
Fest Specjalistyczne Przedsiębiorstwo Produkcyjno-Handlowe Paweł Wojtysiak #         fest.pw@op.pl     #606 632 983
Autoryzowany Serwis Kotłów Buderus i Wolf #         kamixjp@op.pl     #501 380 285
Eco-Time Konstrukcje montażowe do paneli fotowoltaicznych #         k.sitko@eco-time.eu     #790 380 033
Mr Perfect Sebastian Włuka #         sebulkin@gmail.com     #880 685 802
Gwint Piotr Królikowski #         gwintownica@gmail.com     #791 173 444
Eko-Out Barbara Mazurkiewicz #         b.mazurkiewicz@eko-out.com     #693 719 366
Ankor Usługi Hydrauliczne Ogrzewanie Instalacje Wod-Kan #         ankor.kk@poczta.fm     #601 227 205
Izabela Drobnik-Kamińska Isan Biuro Projektowo-usługowe #         bpuisan@o2.pl     #(42) 670 80 04
Wiwicom Wiesław Wieteska #         biuro@wiwicom.pl     #509 824 661
Henk-El Produkcja Osprzętu Elektrycznego #         henk-el@idsl.pl     #(44) 682 33 43
Tom-Sat Instalacje AntenTomasz Wrześniewski #         tomaszwrzesniewski@o2.pl     #506 592 529
Instalatorstwo Sanitarne, Wod.-kan., C.o., Gaz Roman Klupp #         rpk@op.pl     #503 339 330
Agencja Detektywistyczna Sylwester Kopeć #         eska2001@poczta.onet.pl     #501 762 475
MP Tech Serwis Paweł Krzywicki #         p.krzywicki@onet.eu     #607 160 334
Status Project Marek Szamocki #         mszamocki@gmail.com     #605 080 416
Dametex Przedsiębiorstwo Handlowo-Usługowe Paweł Tomczak #         pawel_tomczak@op.pl     #603 456 728
Pro-Kat K. Toczyński #         konradtoczynski@pro.onet.pl     #(44) 682 44 37
PrestigePV Sp. z o.o. #         biuro@prestigepv.com     #502 332 767
Protech Usługi Projektowo-Kosztorydowe Łukasz Tarnowski #         ltarnowski@interia.pl     #661 551 533
Klimag Tomasz Magiera #         biuro@klimag.eu     #608 639 199
BudiMat - Roboty Ziemne, Usługi Minikoparką #         matiel1234@wp.pll     #690 669 522
Sylwester Frąckiewicz #         hydraulika.kanalizacja@gmail.com     #694 961 952
Hydrant Usługi Hydrauliczne Dominik Antczak #         infohydrant@gmail.com     #734 601 609
Przedsiębiorstwo Handlowo - Usługowe Szwedziński Grzegorz Szwedziński #         szwedzinski.sklep@gmail.com     #603 870 692
Twoje-Instalacje Przemysław Borkowski #         instalatorstwoborkowski@gmail.com     #607 650 400
Usługi Budowlane Fila Sylwester - techniki bezwykopowe, prace ziemne #         sylwesterfila23@gmail.com     #660 808 883
Inst-Bud Zakład Instalacyjno-Inżynieryjny Józef Ziętarski #         biuro@instbudkutno.pl     #(24) 254 37 92
Edsoft #         biuro@edsoft.pl     #601 244 344
Telebit Zbigniew Pawlak #         zbigniew.pawlak@onet.pl     #602 456 576
Zicar Zbigniew Kurek #         zbigniewkurek01@gmail.com     #605 547 738
Hydro-Raf Rafał Boroń #         rafik2132@wp.pl     #663 043 488
Pikosol Instalacje Fotowoltaiczne #         pikosol@pikosol.pl     #607 318 822
Waldemar Suszalski PHU #         suszalski1@o2.pl     #502 654 424
Bednarski Systemy Alarmowe Autoalarmy Gps Zestawy Głośnomówiące #         bednarskisa@poczta.onet.pl     #601 280 537
PK - Term Piotr Krzyżowski #         info.pk@onet.eu     #503 193 096
Paweł Czechowicz El-Co Instal #         el-co.instal@wp.pl     #783 953 500
Przedsiębiorstwo Budowlane Mozer Jakub #         kubatura85@wp.pl     #798 576 182
Rutex Łukasz Ruta #         rutex@vp.pl     #506 450 087
Abdrill sp. z o.o. #         biuro.abdrill@gmail.com     #880 420 777
Hydrowiert Kirschke &amp; Skowron sp.j. #         hydrowiert@hydrowiert.pl     #601 956 442
Eko-Bio sp. z o.o. sp.k. #         biuro@oczyszczalnia.net     #784 761 082
Gal-Gaz Galewice sp. z o.o. sp.k. #         info@gal-gaz.pl     #(62) 783 82 88
Mont-Plast Tomasz Śmietański #         biuro@montplast.pl     #(42) 682 31 80
Jarosław Węglik Wykonawstwo robót ziemnych - transport #         jarkop@onet.eu     #506 271 866
Paw-Lift Marcin Wiśniewski #         biuro@pawlift-serwis-dzwigow.pl     #691 300 068
Spatium Studio Projektowe #         studio@spspatium.pl     #694 242 059
Auto-Mark #         biuro@auto-mark.com.pl     #(42) 654 90 05
Ryszard Szylkiewicz Usługi kominiarskie #         kominiarz-uslugi@wp.pl     #606 876 762
Gres-Styl Twoja Łazienka #         romekgres1@gmail.com     #668 060 544
Kama #         kama@hot.pl     #(42) 640 03 25
Geo-Wiert Dariusz Dutkowski #         dutkowskidarek@gmail.com     #789 101 044
H2O Studnie Głębinowe Jacek Wolski #         wolski508@gmail.com     #515 919 121
Pama Naprawa Pomp Wodnych i Silników Elektrycznych #         pama1@onet.eu     #(42) 656 71 37
Usługi Motoryzacyjne SKP Robert Balcerak. Ubezpieczenia #         rbalcerak4@gmail.com     #509 058 477
Pro-bud Bartosz Sękalski #         biuro@pro-bud.eu     #608 287 013
Tuning Elektroniczny Tir Vitesse V-tech #         biuro@vitesse.auto.pl     #507 718 715
Kombi sp. z o.o. #         kombi@bazafirm.pl     #602 328 326
