Geosas Piotr Sasin #         geosas@wp.pl     #502 248 931
Usługi geodezyjne Geo-Zet Arkadiusz Czeszewski #         geodezja.zet@gmail.com     #727 940 844
Geometra Usługi Geodezyjne Joanna Stawicka #         geometraplock@wp.pl     #507 557 540
M-Geo Mateusz Wójcik #         biuro@mgeo.com.pl     #(32) 264 11 63
Top Geo Usługi Geodezyjne Sławomir Michno #         smichno@gmail.com     #693 579 226
Mariusz Szukalski Zakład Usług Geodezyjnych Geocentr #         geocentr@geodezja.pl     #602 661 598
Geoprojekt Usługi geodezyjne Przemysław Stolarczuk #         przemyslaw.stolarczuk@gmail.com     #513 461 215
Cezary Wtulich Promiar Geodezja #         biuro@promiar.pl     #793 081 688
Geoekspert Usługi Geodezyjne i Kartograficzne Jarosław Szymanek #         jszymanek@onet.eu     #888 398 643
Marwo-Geo Spółka z Ograniczoną Odpowiedzialnością Spółka Komandytowa #         kontakt@marwo-geo.pl     #606 221 196
Mawo Przedsiębiorstwo Usług Geodezyjno-Kartograficznych #         geomawo@op.pl     #502 367 416
Pomiar Pracownia Geodezyjna Artur Wiatr, Eugeniusz Wiatr #         biuro@pomiar-geo.pl     #508 100 445
Geoes Firma Geodezyjna Sławomir Skóra #         geoes@interia.pl     #606 252 471
Geodar Kamil Brzeski #         brzeskik@wp.pl     #662 127 700
Usługi Geodezyjne Krzysztof Bartyzel #         geodeta.bartyzel@gmail.com     #786 966 639
Geodeta s.c. #         geodeta4@poczta.onet.pl     #(81) 886 42 56
Geoplan Sp.j. Biuro Geodezyjne-Geodeta #         biuro@geoplansj.pl     #793 225 777
Geo-Art Artur Pietrzak #         biuro@geo-art.net     #605 907 946
Ambig Geodezja i Budownictwo Marcin Ciachorowski #         marcin.ciachorowski@gmail.com     #695 331 734
Abakus Przedsiębiorstwo geodezyjne inż. Zbyszko Grygierczyk #         zbyszko.abakus@gmail.com     #509 287 607
Mesur Sp. z o.o. #         biuro@mesur.pl     #600 269 505
Ryszard Kryża Geodeta #         rysiekkryza@gmail.com     #515 233 644
Geo_bag Usługi Inżynierskie Geodeta Jacek Bagiński #         geodezja.baginski@gmail.com     #724 704 031
X-Geo Usługi Geodezyjno-Kartograficzne Robert Wąsowski #         robert.wasowski.geo@gmail.com     #692 393 722
Mapa pracownia geodezyjna mgr inż. Mariusz Mazur #         biuro@pgmapa.pl     #660 449 944
ARC-Studio Geodezja Łukasz Huszczo #         biuro@arc-studio.pl     #608 521 261
Zakład usług geodezyjno–kartograficznych Dariusz Balas #         dariusz.balas@gmail.com     #601 635 071
Geko Usługi Geodezyjne I Kartograficzne Jacek Knap #         geko_jacek@poczta.onet.pl     #604 967 139
Geo-Skala Paweł Zalewski #         biuro@geo-skala.pl     #692 109 910
Geotest Zakład Robót Geologiczno-Inżynieryjnych #         biuro@geotest.biz.pl     #602 767 481
Mega-Pol Daniel Podsiedlik #         biuro@mega-pol.com     #506 149 170
Geotlas Usługi geodezyjne i kartograficzne mgr inż. Marcin Kulas #         biuro@geotlas.pl     #602 617 037
Przedsiębiorstwo Robót Inżynieryjnych Żyrardów sp. z o.o. sp.k. #         biuro@priz.pl     #606 462 976
TLC Łożyska sp.j. #         tlc@tlc.pl     #(22) 760 74 00
Hydrowiert Kirschke &amp; Skowron sp.j. #         hydrowiert@hydrowiert.pl     #601 956 442
Geo Przedsiębiorstwo usług geodezyjno - kartograficznych Andrzej Kalwajtys #         firma@geo.suwalki.pl     #501 019 118
Azymut Usługi geodezyjne, mgr inż. Łukasz Siderski #         geosider@wp.pl     #506 484 220
Projektowanie Bogdan Adamczyk #         badamczyk@post.pl     #600 381 738
Paweł Mokrosiński Produkcja Handel Usługi #         geo_sprzedaz_99@o2.pl     #603 879 571
Draco Przedsiębiorstwo specjalistyczne Lesiński Spółka jawna #         j.lesinski@draco.com.pl     #(58) 320 24 31
AK Geodezja Artur Kurzeja #         biuro@geodezja-ak.pl     #725 664 106
Geo - Klas Anna Stachowicz #         ania.geoklas@wp.pl     #509 811 538
Limbus Usługi Geodezyjne Włodzimierz Czernilewski #         limbus-poczta@wp.pl     #601 941 968
Mastergeo Marcin Mitura #         kontakt@mastergeo.pl     #663 986 727
Geowork Group Sp. z o.o. #         pracownia@geowork.pl     #500 576 761
Geosan Usługi Geodezyjno-Projektowe Piotr Sankowski #         geosan@geosan.pl     #508 278 868
Geoart Usługi Geodezyjne Inż Artur Denisiuk #         geoart.denisiuk@gmail.com     #694 138 888
Geo-Bud Zakład Usług Geologicznych Krzysztof Piela Bartosz Stępień #         biuro@geobud-lodz.pl     #(42) 632 03 52
Geonet Mgr Inż. Jarosław Ciszelski #         jciszelski@wp.pl     #502 043 109
Unigeo Prace geodezyjne, mgr inż. Mateusz Kapusta #         geodezja@unigeo.pl     #602 505 390
Hydroel Zakład wiertniczo geologiczny s.c. Janusz Dyda Jerzy Dyda #         kontakt@hydroel.com.pl     #(18) 354 02 40
Geopol Usługi geodezyjno-kartograficzne Sebastian Polak #         geo_pol@wp.pl     #(32) 769 69 42
Algeo Piotr Kuźnicki #         p_kuznicki@tlen.pl     #502 268 276
Usługi Geodezyjno-Kartograficzne Tobar Adam Jankowski #         biuro@ajgeodezja.pl     #604 591 523
Biuro Usług Geodezyjnych Geokomp-Bis Dorota Pytlińska #         geokomp@toya.net.pl     #603 882 410
Geomierz. Pracownia geodezyjno - projektowa. Kucmierz J. #         jkucmierz@op.pl     #607 560 559
Zbigniew Winnicki Usługi Geodezyjne #         wpz@poczta.onet.pl     #535 259 607
