Kamila Instytut Kosmetologii  Iwona Wiśniewska #         kamila10miara1989@gmail.com     #889 970 498
Akademia Urody ##792 233 226
Beauty Studio Angelika Idzi #         angelika_idzi@o2.pl     #733 611 269
Art-Cosmetica Gabinet kosmetologiczny Agnieszka Ziach #         aga.zach@op.pl     #698 411 301
Julita Starosta Starlashes - Stylizacja Rzęs i Brwi #         starlashes24@gmail.com     #502 644 936
Kateryna Khatmulina #         KHATMULINAKATIA@GMAIL.COM     #781 404 415
Paulina Bień Stylizacja Brwi i Rzęs #         paulinb4@gmail.com     #667 300 697
Magda Salon Urody Magdalena Cedzidło #         info@salonurodymagda.pl     #606 821 366
Atelier Urody - Makeup art pmu #         atelierurody6@gmail.com     #608 659 986
Shape Contour Aleksandra Kubalińska #         a.kubalinska@icloud.com     #513 518 881
Żywioły Piękna - Małgorzata Mazur #         malgorzatamazur33@gmail.com     #500 158 078
Anna Studio kosmetyczne Anna Antoniak #         annaantoniak50@gmail.com     #603 999 442
Beauty Point Salon Wizażu i Stylizacji Agnieszka Zarzycka-Kawińska #         agnieszkakawinska@gmail.com     #668 546 921
Manicure Pedicure Stylizacja Paznokci Sandi Beauty Sandra Jedlińska #         sandrajs924@gmail.com     #534 682 354
Nailashes Grażyna Klub-Jas #         nailashes.studiourody@gmail.com     #515 140 965
Beauty Room Magdalena Duda #         lenanails85@gmail.com     #781 713 997
Damilen Beauty #         eliza15@wp.pl     #504 933 588
Claudia Centrum estetyki Lucyna Kieper-Urban #         salon@claudia.lubin.pl     #(76) 849 12 15
Natali Nails House Natalia Vlaskina #         sindikates@gmail.com     #782 153 508
Stacja Natura Małgorzata Stasiak #         salon@stacja-natura.pl     #733 025 500
Stylizacja paznokci Anna Chłodnicka #         ania3492@onet.pl     #668 176 022
Lidia DUTKIEWICZ #         ldutkiewicz@interia.eu     #600 350 337
Bellissima Gabinet Kosmetyczny Monika Wójcik #         bellissimabeauty@op.pl     #535 434 198
Klinika Urody Kosmetologia Estetyczna Angelika Rybarska #         klinikaurody.boleslawiec@gmail.com     #530 273 598
Pracownia Kosmetyczna- Paznokcie - Makijaż Wioletta Mierzwińska #         wiolaa24m@gmail.com     #608 872 400
Hello Beauty Sara Pindral #         sara-pindral@wp.pl     #665 770 339
Knack Clinic Chirurgia plastyczna Michał Knakiewicz #         drmichal@knackclinic.com     #501 358 251
Nowy Zdrój Centrum Zdrowia i Wypoczynku #         recepcja@nowyzdroj.pl     #(74) 306 76 76
Lejdis Beauty Clinic #         lejdis_studio@onet.pl     #607 571 301
EkoVita Przedsiębiorstwo Gospodarki Odpadami #         biuro@ekovita.pl     #(71) 352 89 70
Akuterapie Beata Pacak #         beatapacak@poczta.onet.pl     #509 873 505
HR Project #         hrprojectjg@gmail.com     #502 582 046
Si Skin #         siskin.wroc@gmail.com     #694 642 573
Studio Figura Wrocław Tarnogaj .Profesjonalne Studio Modelowania Sylwetki #         sfigurawroc@gmail.com     #577 055 099
Sandra Pawłowska Kosmetologia Estetyczna #         sp.kosmetologia@gmail.com     #697 560 299
Strefa Relaksu Massage &amp; Beauty Kamila Kasprzyk #         alimak004@yahoo.com     #506 747 721
Orto-Dent Gabinet Stomatologiczno - Ortodontyczny #         orto-dent@wp.pl     #(76) 842 01 90
Strefa Masażu Anna Hirak #         strefamasazu.olawa@gmail.com     #796 099 805
Strefa Kobiecego Piękna Magdalena Mędrkowska #         mmedrkowska@gmail.com     #600 986 337
Picaflor - Pracownia Urody Patrycja Jankowska #         patrycjajankowska06@gmail.com     #609 947 117
Barbara Kwit Salon Urody #         bachakwit@gmail.com     #781 016 176
Studio Figura Oława #         majewska.isabella@gmail.com     #665 367 005
Butik Corti Martyna Rzeszutek #         butikcorti002@gmail.com     #886 557 742
Studio Fryzjersko-kosmetyczne Perfect Katarzyna Sienkiewicz #         perfectstudio010112@gmail.com     #606 746 727
Studio Kosmetologii i Medycyny Estetycznej Annev #         karolina.rodek@interia.pl     #518 426 872
Wondermed - Klinka Medycyny Estetycznej i Chirurgii Plastycznej #         m.balkanska@gmail.com     #665 421 555
Renata Włodarska-Magdziarz Prywatna praktyka stomatologiczna #         renata.wlodarska.magdziarz@gmail.com     #(71) 798 47 23
Studio Urody Piramida Agnieszka Danielewska #         piramida.rafi@gmail.com     #768 356 194
Studio Face &amp; Body Ewa Mika #         ewa@facebody.pl     #607 574 406
Perfekt - Układanie Wykładzin Cieślik Sylwia #         perfektphu@wp.pl     #507 135 712
Anna Perczyńska  Ana  Nails Design Manicure Hybrydowy, Paznokcie Żelowe #         perczynskaanna@hotmail.com     #577 820 658
Harmony Body And Mind Jolanta Adamska #         harmonybodymind1@gmail.com     #606 627 162
Stomatologia Rodzinna Bartłomiej Kaczmarzyk #         bkaczmarzyk@wp.pl     #601 721 805
1000krzeseł.pl Anna Mazur #         1000krzesel@wp.pl     #509 721 744
Euro Przemysław Poprawa #         biuro@eurowroclaw.net     #(71) 355 68 28
Prima - Pralnia Kłodzko #         kontakt.prima@gmail.com     #502 667 890
