Harmonia Piękna Karolina Sieranc #         harmoniapiekna@o2.pl     #509 382 135
Daria Syrotkina Gabinet Kosmetyczny Alika #         daryasirco@gmail.com     #536 167 771
Anielska Chata Sylwia Konopka #         anielskachata@gmail.com     #667 788 024
Warsztat Urody Tetiana Nowakowska #         warsztaturody@interia.pl     #505 773 633
Katleja Day SPA Anita Szlachetka #         gabinet@katlejadayspa.pl     #606 876 166
Evita Indywidualna Specjalistyczna praktyka pielęgniarska #         kowalczewskae@o2.pl     #667 962 508
Produkty do stylizacji rzęs - Lashes Mania #         shop@lashesmania.com     #881 087 791
Monika Jachniak Gabinet Kosmetyczny ##511 047 559
Cogito - salon kosmetyczny #         cogitosalonurody@gmail.com     #690 343 003
Studio Kosmetyczne Oxi Beauty Oksana Kachmarchyk #         oxibeauty@poczta.onet.pl     #509 739 315
Julia Gabinet Kosmetyczny Ewa Faber #         faber.ewa57@gmail.com     #508 363 261
Beauty Room Ewelina Sądel #         ewelinasadel@wp.pl     #508 758 118
Be Glam stylizacja paznokci, rzęs i brwi Elwira Listwan #         listwanelwira@gmail.com     #504 968 087
Salon Kosmetyczny Natura #         anna204040@gmail.com     #503 118 782
Marigold Nails &amp; Beauty Agata Ciupińska #         marigold.nailsandbeauty@gmail.com     #537 162 377
Gabinet Kosmetyczny Sekret Małgorzata Garstka #         gosia.garstka@op.pl     #604 632 214
Magic Feet Aneta Cenda #         anetakorol@gmail.com     #511 039 702
Edan spółka cywilna Edward Skrętowicz, Elżbieta Skrętowicz, Magdalena Durło #         sklep@edan.krakow.pl     #(12) 632 69 90
Lagenko Kosmetyki Kolagenowe #         zakupy@lagenko.pl     #789 427 806
Polskie karty sp. z o.o. #         info@polskiekarty.pl     #(12) 415 11 66
Conus Wytwórnia Opakowań z Tworzyw Sztucznych Andrzej Stożek #         stozek@conus.com.pl     #(12) 657 57 77
Media Gold #         biuro@mediagold.com.pl     #505 500 591
Handlowo-Produkcyjna Spółdzielnia Pracy Samopomoc Chłopska w Nowym Targu #         hpsp@op.pl     #(18) 266 36 41
Magdalena Kadłub The Style Researcher makijaż i fryzury #         thestyleresearcher@gmail.com     #790 643 788
Zakład Utylizacji Odpadów Przemysłowych #         biuro@zuop.com.pl     #507 125 202
Kaliko Paulina Front #         mgrfront@gmail.com     #500 848 840
Studio Urody Sylwia Sólnica #         prolashsylvia@gmail.com     #728 609 696
K&amp;P Krok Do Piękna #         kasia.lyduch123@gmail.com     #533 944 330
Kosmetologia estetyczna - Stalowe Magnolie Beauty Clinic Wawro and Chudzik #         twojkosmetologkrakow@gmail.com     #539 955 295
Stylizacja Paznokci Paulina Faron #         p.faron@interia.com     #507 001 821
Kazimierz Stanisz Metalizacja tworzyw sztucznych #         biuro@stanisz.biz.pl     #(12) 251 41 88
Pierre Salon Fryzjersko Kosmetyczny #         czarnikpiotr5@gmail.com     #(12) 357 65 70
Strefa Urody Blanco - makijaż permanentny, zabiegi na twarz #         hybrydy.anna@gmail.com     #602 176 492
Świadome Piękno Salon Kosmetyczny #         swiadomepiekno@onet.pl     #504 085 814
Alicja Studio urody Alicja Pukal #         pukal.alicja@gmail.com     #601 486 054
