Masaż i Kosmetyka z Sercem #         kosmetykazsercem@gmail.com     #602 473 223
Dagra Cosmetics Arkadiusz Panek Hurtownia kosmetyków koreańskich #         biuro@dagracosmetics.pl     #660 511 160
Joanna Grochoła Sielanka #         asia1915@o2.pl     #537 914 461
Gabinet Kosmetyczny Anette Aneta Szachniewicz #         brak     #695 397 578
Drezin Clinic - Magdalena Drezin ##531 329 455
Stylizacja Rzęs Perfect Lashes By Daria Świątczak #         daria.swiatczak@vp.pl     #535 367 793
Weronika Wilczek #         lubochweronika@gmail.com     #792 924 460
Studio Urody La Mia Paulina Siudeja #         siudka2007@gmail.com     #721 554 452
Mariola Lang Gabinet Kosmetyczny #         mariola_lang@wp.pl     #606 284 438
Mani-Nails Inna Nikulochkina #         innanikulochkina@gmail.com     #570 450 919
Rubikon Kosmetologia EWA KOCUR #         gabinet@rubikonkosmetologia.pl     #538 913 419
Fhu Ika Iwona Pilor #         ipilor@poczta.onet.pl     #510 143 454
Salon Urody Bonita y Hermoso Katarzyna Sikora #         salonurody.bonita@interia.pl     #784 746 066
Stylizacja rzęs i brwi Sweet Escape By Daria Popek #         dariapopek123@gmail.com     #694 044 073
Awangarda Salon Kosmetyczny #         awangarda_bierun@interia.pl     #660 527 222
Magdalena Kusznierewicz-Kufel Makeup #         kusznierewicz.magda@gmail.com     #502 919 106
EssenceBeauty Gabinet Dietetyczno-Kosmetyczny Marta Kuklińska #         EssenceBeautybyMarta@gmail.com     #535 586 112
Droga Do Piękna - Pracownia Kosmetyczna Karolina Późniak #         kakobialka@gmail.com     #694 164 213
Studio Piękna Megii #         magdalenarucka@onet.pl     #531 418 202
Nebu Studio Agata Wołodko #         biuro.nebustudio@gmail.com     #785 789 329
Mon Belle Aesthetic &amp; Pmu Maja Najgebauer ##518 690 800
DK Beauty Concept #         domakardas@gmail.com     #735 587 517
Barbara Langosz Gabinet kosmetyczny ##(32) 236 02 06
Natalia Kołaciak-Stolarz Gabinet kosmetologiczny Natalia Kołaciak #         gabinetnk@gmail.com     #576 340 940
Dominika Skórka Lookwell #         skorkadominika1988@gmail.com     #501 265 151
Monika Gabinet Kosmetyczny Monika Kotuła #         monikaw30@poczta.fm     #501 694 477
Clinic Cudeńko - Klinika Medycyny Estetycznej I Laseroterapii Marta Cudejko #         clinic.cudenko@gmail.com     #534 451 583
Klaudia Jakubiec Twoja Stylistka Rzęs i Brwi #         klaudia.obremska12@gmail.com     #512 431 175
Max Dent - Ortodoncja &amp; Stomatologia - S.C. Ewa Maksym Arkadiusz Maksym #         czechowice-dziedzice@max-dent.pl     #(32) 215 87 81
