Amed Nzoz Laboratorium Diagnostyczne Ewa Bonter #         laboratorium.amed@gmail.com     #(71) 349 37 26
Laboratorium Medyczne Labo #         kontakt@labo-olesnica.pl     #662 593 947
PPHU Arkada Teresa Mordal #         martazyzak87@gmail.com     #785 530 130
Malmed Ratownictwo Medyczne i Ochrona Przeciwpożarowa Mateusz Maliga #         malmedwroclaw@gmail.com     #531 720 826
Eko-Wtór Firma Leszek Kuzynowski #         ekowtor@autograf.pl     #601 517 085
Anna Juszkiewicz Ubezpieczenia #         anna.juszkiewicz@multi-agencja.com     #757 351 544
Medbeauty - Klinika Medycyny Estetycznej dr Andrzej Kępa #         info@drkepa.com     #(74) 857 57 93
Chirurgia Plastyczna dr n.med Ireneusz Łątkowski Specjalista Chirurgii Plastycznej #         latkowski@chp.pl     #(74) 868 13 34
Emilia Mądrecka Kancelaria Adwokacka #         adwokat@emiliamadrecka.pl     #604 101 980
Uniqa Agencja Generalna w Wałbrzychu Aleksandra Łobarzewska #         ag.walbrzych@uniqa.com.pl     #(74) 843 60 16
lubatexoutlet.pl - Sklep internetowy z bielizną pościelową #         sklep@lubatexoutlet.pl     #(75) 744 55 16
Joanna Wacławik Medycyny pracy #         gabinet@drwaclawik.pl     #606 238 294
Producent Mebli Surlejewski s.c. #         meble@surlejewski.pl     #502 117 932
NZOZ Kolmed s.c. #         rejestracja@kolmedswidnica.pl     #(74) 661 84 21
VDENTAL Przedsiębiorstwo Farmaceutyczne Okoniewscy #         biuro@vdental.one     #(74) 833 74 85
OPIEKA INTER JOB Sp. z o.o. Sp.k. #         marketing@interjob.com.pl     #(76) 846 80 35
EkoVita Przedsiębiorstwo Gospodarki Odpadami #         biuro@ekovita.pl     #(71) 352 89 70
Przychodnia Rehabilitacyjna OAZA ZDROWIE #         oaza.zdrowie.przychodnia@gmail.com     #666 295 631
Leaf Krzysztof Listowski #         kolosjg@wp.pl     #886 666 896
Rotas Biuro Tłumaczeń Online Tłumacz Przysięgły Niemieckiego Angielskiego Czeskiego Ukraińskiego Francuskiego #         biuro@rotas.pl     #(75) 721 05 45
Libra Clinic Sp. z o.o.Wyjazdowa pomoc lekarska, wizyty domowe, całodobowe usługi pielęgniarskie #         maribed@tlen.pl     #501 450 037
Mateusz Rosiak Sklep Medyczny-Pracownia Ortopedyczna #         mateusz.rosiak@interia.eu     #604 164 658
HR Project #         hrprojectjg@gmail.com     #502 582 046
Małgorzata Bińkowska Lek Med Spec Psychiatra #         goszabinkowska@gmail.com     #606 271 231
Kancelaria Mediacyjna Mediator Grażyna Górska #         biuro@mediator-olawa.pl     #884 989 384
Tapicerstwo Samochodowo-Meblowe Natalia Horchakova #         kolodii13071992@gmail.com     #575 210 539
