Pomed Podstawowa opieka zdrowotna Joanna Popławska-Młodziejewska #         pomed.pomed@tlen.pl     #(54) 287 50 73
Zdrowie Sklep Medyczny #         zdrowie.naklo@gmail.com     #(52) 388 00 22
Car-Med Krzysztof Gabryszewski #         kontakt@car-med.pl     #883 677 050
Centrum Kosmetologii i Trychologii Skin Expert Teresa Łukowska #         kl.skinexpert@icloud.com     #502 343 996
Operacja Renowacja Sp z oo #         kontakt@operacja-renowacja.pl     #721 354 786
##test
Pneumat poduszki i materace przeciwodleżynowe Medard Senski #         pneumat@pneumat.info.pl     #602 369 080
Pro-Lab Usługi chemiczno-środowiskowe Piotr Drop, Katarzyna Drop Spółka cywilna #         prolabsc@prolabsc.pl     #508 209 940
Karo Gazy Techniczne Medyczne Roman Bajdalski #         karo.gazy@karo-net.com     #(54) 282 50 13
Salon Beauty Expert Marlena Frischke ##691 540 863
Zakład Sprzętu Ortopedycznego I Rehabilitacyjnego Sp. z o.o. #         kontakt@zsoir.pl     #(56) 648 43 22
Pod Tężniami im. Jana Pawła II. Klinika Uzdrowiskowa #         rezerwacja@podtezniami.pl     #(54) 416 70 00
Salon perukarski Rokoko Hair Company #         bydgoszcz@rokoko.com.pl     #(52) 300 24 32
Salon perukarski Rokoko Hair Company #         torun@rokoko.com.pl     #(56) 363 69 95
Przychodnia Piastowska Ludwika Lewicka #         piastowska1@poczta.onet.pl     #(52) 357 90 01
Centrum Medyczne Olk-Med Sp. z o.o. #         marketing@olk.pl     #(56) 622 66 66
Dariia Okhrimenko #         okhrimenko.darlyn@gmail.com     #795 199 402
Hospicjum im Jana Pawła II #         rejestracja@hospicjum.torun.pl     #664 429 838
Protlumaczenia.pl s.c. #         admin@grudziadz24h.eu     #501 327 777
Orto-Przem Salon Ortopedyczny Przemysław Ruciński #         orto-przem@tlen.pl     #693 139 032
Tomograf Sp. z o.o. NZOZ Pracownia Tomografii Komputerowej i Rezonansu Magnetycznego #         rejestracja@tomograf.torun.pl     #(56) 610 03 82
Eld-Med Sp.j. Elżbieta Staszewska-Dyrda Dariusz Dyrda #         eld-med@o2.pl     #533 304 042
Gabinet Weterynaryjny Aleksandra Bróździńska #         ola@gabinet-konie.pl     #669 955 471
NZOZ Praktyka Lekarza Rodzinnego, Lek. Med. Ołtarzewski Tomasz #         nzozgrebocin@op.pl , nzoz.grebocin@op.pl     #(56) 645 90 97
Gajd-Med Łukasz Gajda #         gajdalukaszz@gmail.com     #790 750 999
Biuro tłumaczeń Daniel Lisiński #         danlisbiuro@gmail.com     #504 828 434
Ortmedic Sprzęt medyczny, rehabilitacyjny, ortopedyczny #         ortmedick@wp.pl     #500 151 512
It Projekt Tomasz Paszul #         tomek@itprojekt.co     #884 000 390
Maro Producent wyrobów foliowych #         biuro@folie-maro.pl     #604 408 734
Vacuum-Tech S.C. Marcin Brzozowski Marek Grzanka #         biuro@vacuum-tech.pl     #511 226 852
Gabinet Weterynaryjny HAU-MIAU Karolina Tomczak #         tomczakrenata60@gmail.com     #660 961 876
Wizyty Domowe Paweł Jakubczyk #         pawelmaw@wp.pl     #603 678 372
Klinika Wierzowieccy Estetyka Paula Wierzowiecka Rehabilitacja Marcin Wierzowiecki #         klinikawierzowieccy@gmail.com     #507 568 066
Andrzej Lisiecki Lek. Med. Prywatny Gabinet Ginekologiczny #         aalisiecki@gmail.com     #796 181 713
Temida Kancelaria Adwokacka Adwokat Łukasz Kurek #         biuro@radcaprawny-grudziadz.pl     #691 552 477
Zbigniew Klain Bydgoskie Biuro Tłumaczeń #         klainbbt@go2.pl     #602 721 630
Fizjotrik Dariusz Witkowski #         dariuszwitkowski87@gmail.com     #795 106 325
Prywatny Gabinet Ginekologiczny Józef Dziedzic Specjalista Ginekolog-Położnik #         joemd@wp.pl     #603 198 425
Profino Biuro tłumaczeń i usług informatycznych Wojciech Luboch #         biuro@profino.pl     #605 883 533
Marzena Ziółkowska-Kochan Dr Nauk Med Spec Neurolog #         marzenazk@interia.pl     #601 831 100
Gabinet weterynaryjny Adam Puzio #         agpuzio@wp.pl     #507 097 438
