Posesja-Bis Robert Karlicki #         biuro.posesjabis@gmail.com     #502 491 977
Kancelaria Notarialna Ewelina Żółtogórska - Notariusz #         biuro@notariusz-wroclaw.net     #512 924 242
WGN Biuro Nieruchomości #         lubin@wgn.pl     #696 426 227
Alma PHU Alicja Alexandrowicz #         biuro@znib.pl     #(71) 313 77 96
Space Investment Real Estate Advisors Sp. z o.o. #         karina@spaceinvestment.com.pl     #507 160 968
Administrator Biuro obsługi nieruchomości Piotr Bestydziński #         administratorpb@o2.pl     #607 148 078
Nieruchomości Sp. z o.o. #         biuro@nieruchomosci.legnica.pl     #508 198 062
Klasa Radosław Wycena Nieruchomości #         klarad@vp.pl     #694 263 228
Ewa Cichowicz Kancelaria Notarialna #         e.cichowicz@notariusz.lex.pl     #(71) 317 28 68
DreamHome Nieruchomości Agnieszka Witkowska-Bojdys #         agnieszka.bojdys@dreamhome.nieruchomosci.pl     #577 606 206
Lider Zarządzanie Nieruchomościami s.c. Grabowska Dominika Grabowski Rafał #         biuro@lider.jgora.pl     #(75) 647 76 00
Koncept s.c. Biuro Księgowo-Konsultingowe #         koncept01@op.pl     #605 881 408
Agencja Nieruchomości Domland Krystyna Muzyka #         domland@wb.onet.pl     #601 257 617
Iwona Martynowicz Laskowska Piotr Laskowski Nieruchomości #         domekspert.lubin@gmail.com     #660 979 715
AMJ Nieruchomości #         biuro@amjnieruchomosci.pl     #533 650 355
Cezary Wyrwa Rzeczoznawca Majątkowy Określanie Wartości Nieruchomości Doradztwo Inwestycyjne #         cwyrwa@wp.pl     #501 567 155
Lesław Pelc Biuro Wycen Nieruchomości #         pelc@onet.pl     #504 227 303
Twój Dom sp. z o.o. #         twoj_dom@op.pl     #(74) 842 20 35
Supervalor Biuro Wyceny Nieruchomości Barbara Hak #         barbarahak@wp.pl     #605 767 920
1. Anna Gogolewska Radan 2. Anna Gogolewska Tadeusz Lasoń PPH Tanmet S.C. #         annagogolewska@gmail.com     #(74) 831 36 22
1 FHU Euro-Inwest Henryk Partyka 2 H.z Firma Deweloperska S.C. H. Partyka A. Partyka ##(75) 732 70 03
2finance Sp. z o.o. #         jakub@1finance.pl     #609 692 011
3 Home Kaczkowska Dziedziński Tumiński Sp. J. ##690 224 556
3k Sp. z o.o. Domy Socjalne i Pensjonaty Seniora ##(71) 358 74 38
3KF Sp. z o.o. #         biuro@3kf.pl     #(71) 707 01 95
3QQ Pro Sp. z o.o. #         biuro@3qq.pl     #(71) 307 33 99
4 Invest S.C. Eugeniusz Karnas i. Kreczmer Remigiusz Kreczmer J. Pawlak ##(74) 854 45 14
