R&amp;S Święcińscy #         biuro@wtryskownia.eu     #(85) 743 80 30
Producent domów drewnianych Prodrew Sp. z o.o. #         biuro@prodrew.elk.pl     #793 088 703
Jarosław Kalinowski Zakład Piekarniczo-Cukierniczy #         sekacz.jkalinowski@gmail.com     #(86) 219 14 98
Zakłady Mięsne Podgórze Jacek Hryniewicz, Krzysztof Zawadzki Spółka Jawna #         apis10@o2.pl     #(86) 217 82 29
Altrad Poland S.A. #         sprzedaz@altradpoland.pl     #(85) 661 43 03
Usługi Ślusarsko- Spawalnicze Metaloplastyka Janusz Cimoch #         cimochjanusz@wp.pl     #501 592 856
Nagrobki Marek Nowak #         nagrobkinowak2012@gmail.com     #510 865 344
Cennas Sp. z o.o. Przedsiębiorstwo Handlowo-Nasienne #         cennas@wp.pl     #(86) 272 22 69
Paweł Wojdak Usługi Kamieniarskie Nagrobki Liternictwo #         kamieniarstwowojdakp@onet.pl     #691 107 020
Monter Dariusz Sural #         schodysural@gmail.com     #606 683 539
Diadom - Okna, Drzwi, Bramy Garażowe, Ościeżnice #         biuro@diadom.pl     #517 851 743
Artprol Ceckowscy Spółka jawna #         biuro@artprol.pl     #(87) 566 49 77
Natural Sp. J. #         bialystok@natural.com.pl     #(85) 868 22 59
JMTech Jacek Barszczewski Elektromechanika Przemysłowa. Naprawa maszyn przemysłowych #         serwis@jmtech.pl     #508 538 501
Zakład Optyczny s.c. E.Niezgoda, J.Obrzud #         biuro@optyk.augustow.pl     #(87) 643 30 65
Chrostowski PW - Produkcja i Legalizacja Wag, Wzorce Masy Marian Chrostowski #         biuro@pwchrostowski.pl     #606 260 461
Cadd Studio Piotr Świrydowicz #         piotr@caddstudio.pl     #517 492 508
Przedsiębiorstwo Produkcyjno Handlowo Usługowe Flaki Konarzyce Rafał Pogroszewski #         r.pogroszewski@wp.pl     #501 163 828
Agrotechnik Ryszard Radwański #         agrotechnik@agrotechnik.home.pl     #(86) 276 08 40
Pionier Karol Palikot #         biuro@alleopony24.pl     #571 237 751
Factory Piotrowski Maciej Piotrowski #         factorypiotrowski@gmail.com     #797 372 143
Tapijanusz Janusz Adamczuk #         januszmeble70@wp.pl     #660 270 516
Bartnik Sokólski Gospodarstwo Pasieczne Wojciech Zajkowski #         bartniksokolski@o2.pl     #603 589 493
Polinat F.H. Irena Godoniuk Jerzy Godoniuk #         polinat.bk@home.pl     #(85) 656 12 21
Drozd PUH Producent Trawy Żubrowej #         drozdsk@wp.pl     #723 571 284
Tomasz Chraboł Handel i Produkcja Drzewna #         chraboltomasz@wp.pl     #602 449 270
Wilk Meble Zakład Produkcyjno-Usługowy Dariusz Wilk #         biuro@wilkmeble.com     #602 511 166
Meble Na Wymiar Adam Truchel #         stolperfekt@gmail.com     #517 788 336
Piopol Zakład Produkcyjno-Usługowy Piotr Łysynkiewicz #         piopol@onet.eu     #510 979 555
Falko Zakład Stolarski Tomasz Falkowski #         biuro@falkomeble.pl     #660 041 906
Sebastian Iwanicki #         kontakt@domofony.bialystok.pl     #798 515 969
Biesiadna Restauracja s.c. Edyta, Marek Tworkowscy #         biuro.biesiadna@gmail.com     #723 985 984
Biesiadna Restauracja s.c. Edyta, Marek Tworkowscy #         biesiadna.bialystok@gmail.com     #(85) 661 38 99
Jp Drzwi I Okna Jacek Południak #         jpdrzwi@onet.eu     #577 922 377
Gumi-Express Sławomir Jakubowski #         gumi-express@wp.pl     #(87) 567 65 82
Aga4house Agnieszka Dowgiert #         agnieszkadowgiert@wp.pl     #786 155 055
Arton Reklama&amp;Poligrafia-CNC, Litery przestrzenne #         arton@arton-reklama.pl     #(85) 656 15 54
Agro-Handel Skład materiałów Tyszko G. #         tyszko.agro@wp.pl     #606 308 706
Zakład Kamieniarski Mirosław Łapiński #         brak     #605 259 903
Mirko Pokrowce Samochodowe Naprawa Tapicerek Samochodowych Naprawa Skuterów #         mirko@motomirko.com.pl     #602 723 734
Henda s.c. Andrzej Duchnowski, Beata Duchnowska, Henryk Duchnowski #         henda@o2.pl     #501 546 315
Zakład Obróbki Skrawaniem Ślusarstwo Kamieński Wieczysław #         kamienskiw@tlen.pl     #607 939 125
Masarnia Nowiccy Kamil Nowicki #         nowpolania@o2.pl     #505 393 955
PPHU Świetlik Maciej i Jarosław Krzyżewscy #         swietlikznicze@wp.pl     #604 591 569
Jerzy Lewandowski Zakład kamieniarsko betoniarski #         ejlew@wp.pl     #604 622 219
Malow Spółka z ograniczoną odpowiedzialnością #         marketing@malow.com.pl     #(87) 566 07 02
Michał Milewski Milew Meble #         milew@onet.pl     #883 239 114
Kamieniarstwo Adrian Więcek #         kamieniewiecek@gmail.com     #797 929 959
Vilpol Wilamowscy sp.j. #         vilpolinfo@wp.pl     #(85) 716 25 72
Dalma Spółka z ograniczoną odpowiedzialnością #         dalmadaria@poczta.onet.pl     #502 363 628
Parbet Łukasz Arasimowicz #         biuro@parbet.pl     #514 141 317
Ad2000 Zdzisław Jankowski #         zdzislaw-jankowski@wp.pl     #502 611 822
Gryzer Firma Usługowo-Handlowa Łukasz Milewski #         biuro@gryzer.com.pl     #508 359 077
MLEK-MAR Sklep rolno-ogrodniczy #         mlekmar@op.pl     #724 203 503
Rogmar Grzegorz Czeszel #         biuro@roletybialystok.pl     #663 427 135
Betex Zakład Produkcji Spożywczej Jan Kakareko #         betexknyszyn@op.pl     #(85) 716 70 47
Na Wymiar Paweł Wiszowaty #         na.wymiar.bialystok@gmail.com     #604 778 763
EJ ZAMOJTUK Spółka z ograniczoną odpowiedzialnością #         sklep@ejzamojtuk.pl     #537 026 326
Rode Bartłomiej Rode #         rode1@onet.eu     #664 917 400
Andrzej Dębicki Transport Handel i Produkcja Drewna #         andrzej_debicki@wp.pl     #501 042 929
Paweł Żukowski Phu Fenix #         pzukowski@op.pl     #502 517 672
Magnus P.H.U. Krzysztof Gnatowski #         k.gnatowski@magnuschemia.pl     #506 072 712
Al-Technik Adam Leoniewski #         al-technik@wp.pl     #668 403 023
Rafałek Młyn Handlowo-Usługowy Henryk Płoński #         biuro@mlynrafalek.pl     #(86) 476 06 59
Kredens Agnieszka Gawryluk #         maciejgawryluk@o2.pl     #695 707 698
Interagro Środki ochrony roślin, części do ciągników i maszyn rolniczych #         interagro.bial@op.pl     #(85) 747 46 44
PHU Waldemar Borewicz #         waldek.borewicz1@wp.pl     #667 281 761
Z.h.u. Agro-System Dariusz Chmielewski #         chmielewski.dealer@westfalia.com.pl     #697 500 462
Zakład Stolarski Andrzej Tylenda #         jolantatylenda@gmail.com     #605 958 593
APiN Automatyka Przemysłowa i Napędy Maciej Rogucki #         mrogucki@apin.net.pl     #500 011 442
