Herold sp.j. Masarnia Teresa, .Arkadiusz, Edmund Herold #         lucyna.herold@wp.pl     #(58) 588 32 05
Schody Adam Nakielski sp.j. #         nakielski@schody-nakielski.pl     #510 462 289
Tarimex s.c. Producent okien, drzwi z aluminium i PCV #         zptarimex@wp.pl     #(58) 347 51 05
Met-Pol Meble metalowe #         biuro@met-pol.pl     #(58) 562 17 17
Sylwia Bautsch #         sylwiabautsch@gmail.com     #507 219 720
Stol-Kal Firma Produkcyjno-Handlowo-Usługowa Maciej Wysokiński #         biuro@stolkal.pl     #502 543 775
Tht Nordmann Sp. z o.o. #         info@nordmann.com.pl     #(59) 866 37 06
Krystian Piątek Kamieniarstwo #         krystianbiuropiatek@wp.pl     #505 455 659
PPHU Ok Wojciech Bromber #         biuro@producentchemii.pl     #501 506 569
Rzeźnia Andrzej Parafiniuk #         rzeznia-sztum@o2.pl     #(55) 277 23 02
Proste ciacho, Patrycja Skwiercz #         patrycja_skwiercz@wp.pl     #607 983 942
Pracownia Cukiernicza Rowokół Marianna Ignacik #         brak     #787 700 434
Janca Piekarnia #         piekarniajanca@wp.pl     #(58) 681 96 25
Presto Stal Wyroby hutnicze #         marketing@prestostal.pl     #(52) 395 11 24
Alkom PPHU Krzysztof Zduńczyk #         alkom@alkom.gda.pl     #(58) 682 85 08
A&amp;T Przedsiębiorstwo Wielobranżowe Anna Zielińska #         biuro@ait.gdynia.pl     #(58) 627 03 08
Klimawent s.a. #         kllimawent@klimawent.com.pl     #(58) 629 64 80
Rant Bramy garażowe, automatyka, ogrodzenia #         biuro@rant.com.pl     #(58) 771 13 40
Kraz Transport wykopy #         kraz@post.pl     #602 293 604
Hubeny #         biuro@hubeny.pl     #600 010 701
Bmp Przedsiębiorstwo produkcyjno usługowo handlowe #         info@bmptczew.pl     #(58) 532 47 00
Allts sp. z o.o. #         allts@allts.pl     #515 242 196
Compte For - Tech Sp. z o.o. #         office@compte-fortech.pl     #(52) 397 20 46
Inter Spaw Konstrukcje Stalowe Patryk Fierek #         lukaszfierek@icloud.com     #666 815 856
Dameks #         dameks@dameks-produkcja.com.pl     #601 674 458
Mirex Produkcja Przewodów Hydraulicznych Paliwowych Pneumatycznych Mirosław Raczyński #         mirex@stg.pl     #(58) 560 07 68
Zakład Usług Dźwigowych Remdźwig M. Bąkowski, J. Krężoch Sp.j. #         remdzwig@remdzwig.pl     #(58) 556 37 17
Mirex II Mirosława Zielińska #         biuro@pokrowce.net     #500 811 213
Hubeny Sp. z o.o. Sp.k. #         biuro@hubeny.com.pl     #(58) 682 59 96
Aluokna Adam Meina #         biuro@aluokna.pl     #(58) 349 58 35
Spółdzielnia Pracy Usług Motoryzacyjnych #         sekretariat@spum.pl     #(55) 279 26 01
Sławomir Wenta Kamieniarstwo #         wenta@e-wenta.pl     #609 449 547
