ZHU Okbud #         klobuck@okbud.pl     #(34) 317 33 57
Ceramo Studio Izabela Tomalik #         biuro@ceramostudio.pl     #692 428 699
AF SEKO sp. z o.o. #         jozef.bebek@seko.com.pl     #(33) 814 01 01
Avis Balustrady Nierdzewne #         avis.biuro@wp.pl     #(32) 722 85 02
Wood Construction Cieszyńskie Domy z Bali Łukasz Michałek #         lukas534@vp.pl     #667 315 946
Dolphin sp. z o.o. Chemia przemysłowa #         dolphin@dolphin.com.pl     #(32) 223 85 07
Wimet PPHU Mirosław Wilczko, Marek Witerscheim Spółka cywilna #         wimet.sc@gmail.com     #(32) 258 17 88
OLstal #         ?biuro@olstal.net.pl     #515 315 051
Arad 2 Sp. z o.o. #         arad2@onet.pl     #(34) 315 50 30
Barbara i Krzysztof Waleczek Szkółki drzew owocowych i podkładek #         drzewkawaleczek@op.pl     #696 162 879
Fedah Zakład wyrobu sprężyn Marek Topolski #         biuro@fedah.pl     #(32) 251 19 01
Aleksandria Dariusz Moczarski Sp.k. #         aleksandria@aleksandria.pl     #(34) 328 30 45
Ppuh Skrzyp s.c. #         biuro@skrzyp.com.pl     #601 064 099
Tortowy Zakątek Wyroby cukiernicze #         akuniak@onet.eu     #791 299 551
Słodkości Anmiko Paulina Troczka #         paulina_pabich@wp.pl     #504 481 487
Racksystem Sp. z o.o. Sp. k. #         biuro@racksystem.pl     #(12) 419 21 19
Bilt sp. z o.o. Producent suchego lodu Producent wafli do lodów owijek i pokrywek PET #         bilt@bilt.com.pl     #(33) 817 32 50
Zakład Stolarski Usługowo-Produkcyjny Hanusek Bernard #         hanusekbernard@gmail.com     #602 113 019
Szkółka Drzew i Krzewów Ozdobnych Andrzej Kubera #         a.b.k.kubera@interia.pl     #600 284 983
MTM Stal Spółka cywilna #         tomek@mtmstal.pl     #(32) 768 90 14
Grembox Sp. z o.o. #         biuro@grembox.pl     #794 674 003
Majerowie Producent sztachet metalowych oraz dachów i ogrodzeń #         majerowie@post.pl     #509 280 602
Bogdan Gil #         artur.kosztyla@techband.pl     #(33) 821 79 07
Tech Band Pphu Bożena Cielesta #         artur.kosztyla@techband.pl     #(33) 810 06 38
Messer Polska Spółka z ograniczoną odpowiedzialnością #         kontakt.pl@messergroup.com     #(32) 772 60 00
Endeco sp. z o.o. #         biuro@endeco.pl     #(32) 251 70 28
Sternisko Industry Marian Sternisko #         biuro@sterniskoindustry.pl     #(32) 415 88 25
Rudex Józef Rudek, Mirosław Rudek Spółka jawna #         rudex@rudex.cze.pl     #(34) 366 99 94
P&amp;P-BUD Sp. z o.o. #         kontakt@ppbud.eu     #730 913 608
Castor Unia Gospodarcza Sp. z o.o. #         castor@castor.com.pl     #(32) 206 80 20
ARM Automation Robotics Machines Sp. z o.o. #         biuro@arm-robotics.pl     #(32) 444 94 02
MT System Sp. z o.o. #         biuro@wiazarymt.pl     #602 797 327
AGM Przedsiębiorstwo konsultingowe #         agm@agm-konsulting.pl     #608 153 413
Galas Szkło producent szkła i luster #         katowice@galas.pl     #690 022 842
Galas Szkło producent szkła i luster #         galas@galas.pl     #531 836 400
Marta Czyż Montaż i Naprawa Plandek #         biuro@weychan.bytom.pl     #602 766 753
Szymon Suchoń #         voxhomini@gmail.com     #661 874 103
Derksen Polska sp. z o.o. #         biuro@derksen-polska.pl     #517 491 707
Sowilo Okrycia Plandekowe Jerzy Marek Królikowski #         sowilo_plandeki@op.pl     #791 888 579
PPHU Justyś Glass Maciej Kryczało #         biuro@justysglass.pl     #502 521 601
Power Belting Taśmy transportujące i pasy napędowe #         biuro@powerbelting.pl     #501 573 461
Ortopedyka s.c. Grzegorz Beslapowicz, Jan Murlowski #         kontakt@ortopedyka.pl     #(32) 608 28 30
Wojan Producent mebli, Meble kuchenne, biurowe, Wyposazenie sklepów #         wojan@meblewojan.pl     #(32) 228 15 46
Emtek Producent Opakowań PPHU Paweł Matysiak #         handel@emtek-opakowania.pl     #660 780 860
