R-Tech #         biuro@rtech.pl     #(41) 311 97 10
Jarpol PHU Renata Baran #         jarpol888@wp.pl     #691 586 999
Fut Lift Sp. z o.o. #         biuro@futsuchedniow.eu     #(41) 254 30 20
Rostal Pw Robert Jagodziński #         rostal@onet.eu     #(41) 356 14 75
Zakład Metalowy PHU Włodzimierz Walkiewicz #         biuro@zmwalkiewicz.pl     #(41) 372 53 80
Sebastian Posłowski Zakład usługowo handlowy #         s.poslowski@wp.pl     #608 481 173
Master Plan Producent Plandek #         kontakt@masterplan.net.pl     #791 766 829
BestTap Mende Dziurman #         patryk.dziurman@besttap.pl     #666 932 342
Utech Technics sp. z o.o. #         biuro@utech.biz.pl     #(41) 345 09 50
Progres Aneta Stręk #         2anetastrek@gmail.com     #783 606 100
Betoniarnia Łagów #         biuro@libet-kielce.pl     #788 788 751
Green Garden Libet Kielce #         biuro@libet-kielce.pl     #733 739 735
Gadmet Patrycja Drożdżał #         biuro@gadmet.pl     #511 718 050
Puh Branix Marcin Gałka #         marcingalka1@gmail.com     #608 719 968
Jan Jęczmiński Firma Produkcyjno Handlowa Marketingowo Usługowa Technolog #         technolog8@op.pl     #608 721 276
Ogrodziarnia Tomasz Kowalski #         kontakt@ogrodziarnia.com.pl     #601 917 071
K-Soda s.c. FPH Producent Wody Gazowanej Halina Cichoń, Magdalena Olszak #         halina.cichon.laskow@gmail.com     #501 183 883
Nao plast producent rozdzielnic elektrycznych i gazowych #         naoplast@interia.pl     #608 096 619
Drukarnia Typo .Pieczątki, reklamy , sitodruk.Nadruki na koszulach #         drukarniatypo@wp.pl     #(41) 386 15 45
Jasiński - Jakub Jasiński #         kubajasinski444@gmail.com     #570 710 740
Karol Kędzierski Elektroślus Oporowe Elementy Grzejne #         elektroslus@onet.pl     #723 699 424
Atlant JB Jerzy Bednarski #         zakupy@siatkowy.com     #(41) 343 18 81
Planpol I Firma produkcyjno-handlowo-usługowa Andrzej Wiśniewski #         planpol1@o2.pl     #602 159 845
PPC Pompy Producent Pomp Ciepła Instalacje Fotowoltaiczne #         ppcpompy@op.pl     #501 566 073
Varial Krzysztof Proch #         info@varial.pl     #606 547 940
San-Plan #         san.plan@interia.pl     #602 608 788
Pol-Market Schody Drewniane Dariusz Kutera #         schody.biuro@gmail.com     #601 524 103
Piramida - Okna Drzwi Bramy Rolety - Salon Firmowy #         piramida1@poczta.onet.pl     #(41) 391 49 00
Trust Machinery Karolina Maniara #         biuro@trustmachinery.pl     #730 277 727
Odlewnie Polskie S.A. #         marketing@odlewniepolskie.pl     #(41) 275 86 00
Elevador Dariusz Jaworski #         kontakt@elevador.pl     #500 158 617
Wiromar Mariusz Wiśniewski #         marr.wis@gmail.com     #694 439 054
Rewmax P.P.H.U. Wojciech Kot #         rewmax@onet.pl     #509 236 047
Budber Ireneusz Bernat #         biuro@budber24.pl     #600 945 287
Kowalik Zakład nagrobkowy ##(41) 302 21 95
Effector S.A. #         effector@effector.pl     #(41) 348 70 20
Top-Art Toporowski Artur #         ogrodzeniapanelowestaszow@gmail.com     #500 579 084
Forbud Zakład Produkcyjno-Usługowo-Handlowy Agnieszka Kędzior #         forbud.kedzior@gmail.com     #691 838 278
Artro Artych i Sp-ka P. W. #         artro@wp.pl     #500 095 878
Zakład Produkcji Nawozów Organicznych i Wydobycia Piasku Z.W.P. MOSTY Sp. z o.o. #         zwpmosty@interia.eu     #606 309 529
Metal-Chem Zakład Urządzeń Metalowych Leszek Szymański, Maciej Aplas Sp.j. #         metalchem@metalchem.home.pl     #(41) 317 72 58
Stolmark Plus Tarcica Budowlana, Drewno #         stolmark.plus@op.pl     #693 418 375
Brelak Grażyna Usługi Pogrzebowe Produkcja Trumien i Urn #         gbrelak1962@wp.pl     #(41) 302 33 53
Agropole #         biuro@agropole.pl     #(41) 356 11 95
Teko Jacek Cuper #         teko.cuper@gmail.com     #606 553 564
Euroqr Sp. z o.o. Ubojnia Drobiu #         euroqr@euroqr.com.pl     #(41) 373 00 45
Ryszard Gawęcki Przedsiębiorstwo Produkcyjno Usługowo Handlowe #         kasia6344@interia.pl     #501 375 157
Stylkam Posadzki, Ogrodzenia, Kominki Piotr Gluza #         piotrgluza@stylkam.pl     #604 789 612
Instal-Kom Rafał Czerwiec #         instalkomstaszow@gmail.com     #666 525 544
Poręcze Ze Stali Nierdzewnej - Cnc-Racing - Ścibisz Adam #         ascibisz@wp.pl     #501 372 941
Metalpol PPUH #         biuro@metalpol.net     #(41) 344 81 98
Darbos Producent Pościeli Dla Niemowląt, Prześcieradeł, Pieluch Tetrowych #         fphdarbos@wp.pl     #502 563 970
Wigraf Studio Jacek Szczepaniak #         biuro@wigraf.pl     #(41) 344 61 64
Agro Gold Sp. z o.o. Sp.k. #         biuro@agrogold.com.pl     #508 177 082
Linea Bottonex Phu Beata Korbińska #         biuro@bottonex.pl     #(41) 345 67 89
Aluplanet Katarzyna Ziółkowska #         biuro@aluplanet.pl     #530 222 600
Mcz s.c.Monika Cerazy, Zbigniew Czajka #         monika.cerazy@mczpalety.pl     #508 873 866
Marmur-Land mgr Paweł Krasa. Producent parapetów i elementów wykończeniowych z kamienia naturalnego #         marmur.land@onet.pl     #504 469 505
FPHU DANIEL Daniel Grzesik #         daniel.grzesik86@gmail.com     #693 897 230
Bramy Cetos Tomasz Cerazy #         bramycetos@interia.eu     #530 555 140
Betim Marek Tusiński #         maciekmeb68@gmail.com     #600 616 712
Lowell International Polska Sp. z o.o. #         barbara.kowalczyk@lowellfoods.com     #(15) 833 25 67
Apolloplast sp.j. Brzozowscy #         jacek@apolloplast.com.pl     #(41) 346 10 11
Raf Rolet Rafał Piwowarczyk #         rafrolet@gmail.com     #601 544 182
Elektro-Auto 2 Przedsiębiorstwo Handlowo-Usługowe, Tomasz Dziwoń, Agnieszka Dziwoń s.c. #         elektroauto2@wp.pl     #(41) 301 17 03
Mariusz Dusza Tartak Usługowo-Handlowy #         mariuszdusza72@gmail.com     #661 734 711
Remax PPHU #         remaxstarachowice@vp.pl     #(41) 274 92 49
Konspaw Patryk Janiszewski #         patryk.janiszewski@konspaw.pl     #504 335 209
Starpal Sp. komandytowa #         info@starpal.pl     #609 111 608
Usługi Stolarskie Łukasz Śpiewak #         stolarka.spiewak@wp.pl     #662 837 799
Mieczykolandia Kamil Owczarek #         mieczykolandia@wp.pl     #886 297 195
Mart-tom Tomasz Kuncik #         marttom.biuro@gmail.com     #792 664 333
Jezierski Markowe Okna Sp z o.o. #         kamild@jezierski.com.pl     #(41) 317 46 00
Studio Urody Alicja Bieniek #         albistudiourody1@o2.pl     #600 433 831
Zakład Betoniarski Prefabrykatów Budowlanych s.c. Michał Wojtaszewski, Jarosław Kornecki #         betonkonskie@gmail.com     #(41) 372 73 83
DAW-TECH Obróbka Mechaniczna Elementów Metalowych Sylwester Żak #         dawtech-87@wp.pl     #607 501 661
Firma Produkcyjno Usługowo Handlowa Klarex Krzysztof Przeniosło #         radekprzenioslo@gmail.com     #507 224 636
Ewa Bielicz Pizzeria Brawo #         bielicz.ewa@gmail.com     #519 370 494
Białogon S.A. Kielecka Fabryka Pomp #         a.gontarek@kfp-bialogon.pl     #(41) 366 82 19
KADI Kruszywa, Piasek, Transport Wywrotką Artur Kaczor #         kadi_1987@wp.pl     #502 842 211
Borgis Drukarnia Pieczątki #         sborgis@poczta.onet.pl     #(41) 344 22 66
Sezam Zakład Produkcyjno Usługowo Handlowy Krzysztof Marzec #         sezamsuchedniow1@o2.pl     #(41) 254 43 86
Eufamm Mirosława Miarka #         miarka.miroslawa@gmail.com     #530 602 391
Tartak-Stel Monika Spiżewska #         monikaoli1@o2.pl     #600 253 576
Halina Sielska Dr Nauk Med Spec Dermatolog Wenerolog Laseroterapia #         halinasielska9@gmail.com     #608 573 525
Damian Galus Meble Ogrodowe #         biuro@meblebiesiadne.net     #600 884 958
Decora Meble Radosław Krzemiński #         biuro@decorameble.pl     #606 614 058
Emgie-Mebel. Meble biurowe i hotelowe #         emgie@emgie.pl     #502 565 502
1. Kancelaria Radcy Prawnego Anna Jóźwik 2. Anna Jóźwik Produkcja Materiałów Opałowych3. Anna Jóźwik Wspólnik Spółki Cywilnej Energia Eko ##(41) 344 14 59
