Skeleton Sp. z o.o. #         biuro@skeleton.pl     #501 128 275
BESTIM Spółka z ograniczoną odpowiedzialnością Spółka komandytowa #         bestim@bestim.pl     #(62) 763 10 22
Automatex Zakład automatyki i elektroniki Spółka z ograniczoną odpowiedzialnością #         biuro@automatex.com.pl     #(61) 867 12 30
PK-Bud Przedsiębiorstwo Budowlane Krzysztof Puślecki #         pkbud@poczta.onet.pl     #601 836 548
Ct Engineering Sp z oo #         biuro@ctengineering.pl     #601 383 354
Fach Bet Inject Adam Nowaczyk #         adamkotlin37@wp.pl     #885 344 705
Hal-Pol PHU Roman Jakób #         jakob133@wp.pl     #724 265 024
Tombud System Waldemar Wicherek #         firma@tiwbud.pl     #608 559 800
Cleangroup Piotr Szerszeń #         biurocleangroup@gmail.com     #609 325 713
Zakład Przemysłowych Systemów Automatyki Sp. z o.o. #         zpsa@zpsa.pl     #(62) 735 79 61
Anhyfloors Gemini Szymon Kulik #         anhyfloorsgemini@gmail.com     #575 001 552
Inox Projektowanie Instalacji Nierdzewnych, Kwasoodpornych, Transportery #         inox@inox.poznan.pl     #(61) 875 91 37
Jar-Man Jarosław Dudkowiak #         jarmandudkowiak@wp.pl     #609 850 891
Roszczak&amp;Roszczak s.c. #         roszczak_roszczak@wp.pl     #609 770 990
Liderpal Przedsiębiorstwo handlowo-budowlane Andrzej Filipek #         spedpal@gmail.com     #508 100 145
Liderpal Skup, sprzedaż palet #         spedpal@gmail.com     #508 100 145
Automatyka Przemysłowa - Szach Technik #         biuro@szachtechnik.eu     #603 796 528
Stolarstwo - Handel i Usługi Rafi Rafał Piechocki #         rafalpiechocki@op.pl     #605 861 784
Intermasz Filtracja membranowa #         info@intermasz.com     #694 614 546
Mikronika Sp. z o.o. #         adrian.mazur@mikronika.com.pl     #(61) 665 56 00
POM Kalisz #         pomkalisz@pomkalisz.pl     #(62) 767 30 91
Elstat Elżbieta Statucka #         elstat@elstat.pl     #(61) 852 65 42
Palety-Chałubek Rafał Chałubek #         palety.chalubek@wp.pl     #608 633 290
Zakład Budowlany Artur Zarzeczny #         artur.zarzeczny@o2.pl     #782 168 790
Rott sp. z o.o. #         biuro@rott.com.pl     #603 592 542
Visual Concept Piotr Grobelny #         info@visual-concept.pl     #726 541 146
Roland Tomasz Krzyżaniak #         tkrzyzaniak@poczta.fm     #506 021 710
Ab System Sp. z o.o. #         aruks@ab-system.eu     #(65) 538 00 11
Ksp Engineering Sławomir Pietras #         ksp@ksp-poznan.com     #696 941 437
Palety Rafał Bednarek Firma Handlowo-Usługowa Paletex Palety jednorazowe i nadstawki paletowe #         paletex5@wp.pl     #501 013 955
Jakub Okupniak PBU #         jakub.okupniak@onet.pl     #515 265 312
Efawa Spółka Sp. z o.o. #         biuro@efar.com.pl     #(61) 877 00 53
Dawid Magdziarek Wielkopolski Serwis Paletowy Damag #         damag.palety@wp.pl     #501 081 234
Unimat Fabryka Wycieraczek #         rejmisz@unimat-wycieraczki.com     #609 534 390
Unimat Fabryka Wycieraczek #         kontakt@unimat-wycieraczki.com     #609 534 390
Izoserwis Spółka z ograniczoną odpowiedzialnością #         biuro@izoserwis.net     #(63) 279 37 08
Filtrowent sp. z o. o. sp. k. #         info@filtrowent.eu     #(61) 442 24 62
Ekolab sp. z o.o. Laboratorium Akredytowane #         ekolab@ekolab.pl     #(61) 651 01 01
Bestim Skórzewski Rektor Spółka Komandytowa #         bestim@bestim.pl     #(62) 763 10 22
Metalzbyt Poznań #         biuro@metalzbyt.pl     #(61) 848 54 49
Grinbud Zakład ogólnobudowlany Dominika Sieszchuła #         biuro@grinbud.pl     #663 007 302
Grinbud Zakład Ogólnobudowlany Dominika Sieszchuła #         biuro@grinbud.pl     #663 007 302
Sintex Maszyny do szycia #         sintex@sintex.pl     #(61) 865 11 27
Sintex Sprzedaż i naprawa maszyn do szycia #         sintex@sintex.pl     #(61) 865 11 27
Aqua-Ziem Studniarstwo Bartosz Bardziński #         biuro@aqua-ziem.pl     #602 645 820
Zakład Usług Elektrycznych-Automatyki Krzysztof Białowski #         bialowski.krzysztof@interia.pl     #608 639 643
K.R.U.K. Technika I Energia Sp. Z O.O. #         kruk@zmrkruk.pl     #691 232 323
Jar-Kor Jarosław Korcz #         jarkor78@gmail.com     #790 305 154
Hop-Home Our Passion Firma Remontowo-Budowlana Kinga Artymowicz #         hop.ogrodzenia@onet.pl     #661 781 777
Klima s.c. #         biuro@klima-kolo.pl     #(63) 272 25 18
Coda PPHU Produkcja siatki ogrodzeniowej Z. Maksymowicz #         coda@poczta.onet.pl     #(68) 386 09 46
Animir sp. z o.o. #         info@animir.com.pl     #(61) 827 95 00
Termo-Dek Roman Bartczak, Andrzej Markowski Spółka jawna #         biuro@termodek.pl     #(61) 848 98 98
GOK Regler und Armaturen Polska sp. z o.o. #         gok@gok.pl     #(62) 735 84 08
Zakład Rzemieślniczy Instalacji Sanitarnych #         office@instalswiat.pl     #601 787 427
Rusztowania Pokrzywno #         biuro@rusztowaniapokrzywno.pl     #696 088 919
Tp Ochrona Sp. z o.o. #         biuro@tpochrona.pl     #660 457 845
Żelbetowa Sp. z o.o. #         panek@zelbet.com.pl     #663 830 676
Włodzimierz Czubała Usługi Ogólnobudowlane #         czubala.rusztowania@o2.pl     #606 650 608
Elektroinżynieria Tomasz Kowalski #         biuro@elektroinzynieria.com     #696 201 907
Bramgaz Jakub Jakubowski #         biuro@bramgaz.pl     #(65) 529 61 09
K.R.U.K. Technika i Energia Sp. z o.o. #         kruk@zmrkruk.pl     #691 232 323
Stantech Stanicki Arkadiusz #         biuro@stantech-gniezno.pl     #796 843 111
Konslogis sp. z o.o. #         maciej.karolczak@konslogis.pl     #606 706 819
Rawbud-Rawicz sp. z o.o. #         budowa@rawbud.com.pl     #(65) 546 10 94
Jarosław Anioła Firma Budowlana #         jaroslaw.aniola@o2.pl     #517 770 057
Comerc Sp. z o. o. #         office@comerc.pl     #(61) 875 07 15
Tedakon Zakład ślusarski Henryk Teda #         henrykteda@wp.pl     #500 229 182
Jantruck Wózki Widłowe Jankowiak Sebastian #         jantruck@o2.pl     #602 131 438
Partner Styl sp. z o.o. #         partnerstyl@gmail.com     #797 365 798
Proinvest Bramy Przemysłowe, Doki Przeładunkowe #         biuro@proinvest.com.pl     #(61) 282 79 03
Eco Cars Produkcja i Serwis Pojazdów #         biuro@ecocarspoland.pl     #661 357 219
Instal-Klima Bartosz Baranowski #         biuro@instalklimapoznan.pl     #785 915 492
Wenteam Łukasz Wlazło #         wenteam.kalisz@onet.eu     #502 161 140
Brado s.c. #         salon@brado.pro     #(62) 592 32 20
Montaż Konstrukcji Stalowych Dachstyl Michał Wojtkowiak #         michal.dachstyl@interia.pl     #535 311 924
Wyburzacze. Eu Sp. z o.o. #         biuro@wyburzacze.eu     #606 247 288
Pneumatik S.A. #         info@pneumatik.pl     #(61) 816 12 46
