Fut Lift Sp. z o.o. #         biuro@futsuchedniow.eu     #(41) 254 30 20
Magmet Łożyska toczne Jolanta Lucińska #         biuro@magmet.info     #(41) 273 71 20
Autoryzowany dealer TCM Forklifts #         biuro@dagon.pl     #501 644 853
Progres Aneta Stręk #         2anetastrek@gmail.com     #783 606 100
Mcz s.c.Monika Cerazy, Zbigniew Czajka #         monika.cerazy@mczpalety.pl     #508 873 866
Euro Partner Security Zakłady Usługowe Tadeusz Winiarski #         europartnerkielce@wp.pl     #515 167 860
Remax PPHU #         remaxstarachowice@vp.pl     #(41) 274 92 49
Żelbety Matysek Daniel Matysek #         matysek.zelbety@wp.pl     #723 528 796
Starpal Sp. komandytowa #         info@starpal.pl     #609 111 608
Innochem Aneta Zalewska #         kontakt@innochem.pl     #602 155 919
Paweł Kuchta Firma Remontowo-Budowlana #         pawloku@o2.pl     #509 282 728
Utech Hydraulic Sp. z o.o. #         kielce@utech-hydraulic.pl     #602 770 714
GRUPA OCHRONY PARTNER #         pckielce@gmail.com     #(41) 366 44 77
BestTap Mende Dziurman #         patryk.dziurman@besttap.pl     #666 932 342
Utech Technics sp. z o.o. #         biuro@utech.biz.pl     #(41) 345 09 50
Mirex Hurtownia Artykułów Elektrycznych #         mirex.elsigma@gmail.com     #(41) 252 22 22
SanTa-EKO Sp. z o.o. #         biuro@santa-eko.pl     #(15) 644 68 12
Klimbar Łukasz Bartos #         biuro@klimbar.pl     #500 560 806
Instar PPUH Grzegorz Krowiński #         biuro@instar-kielce.pl     #733 009 949
Ireneusz Kuźdub Usługi Sprzętem Budowlanym #         ireneusz.kuzdub@gmail.com     #608 651 920
Bramy Cetos Tomasz Cerazy #         bramycetos@interia.eu     #530 555 140
Armax Sp. z o.o. #         armax@o2.pl     #662 494 514
Batero Sp.j. T. A. Wenus&amp;B. R. Horodyscy ##(41) 345 44 57
Jasiński - Jakub Jasiński #         kubajasinski444@gmail.com     #570 710 740
Wojciech Turczanik Amperwolt #         amperwolt.instal@gmail.com     #696 188 006
Com-Lm Arkadiusz Beck #         biuro@com-lm.pl     #(41) 368 71 90
FOKUS Zbigniew Cedro #         fokuszc@gmail.com     #502 250 324
Planpol I Firma produkcyjno-handlowo-usługowa Andrzej Wiśniewski #         planpol1@o2.pl     #602 159 845
Karoceza s.c. PPHU Anna Luzak i Cezary Luzak #         karoceza@wp.pl     #509 531 267
Varial Krzysztof Proch #         info@varial.pl     #606 547 940
Kobex Zakład Pracy Chronionej Bartosz Łącki Sp.j. #         biuro@kobex.net.pl     #662 260 242
DLfloor Dawid Ligas #         dlfloor1@gmail.com     #504 459 308
Mateusz Turek Biuro Projektowe #         mateusz_turek@interia.pl     #785 059 428
Multi Scan Systemy Alarmowe Artur Picheta #         biuro@sswn.pl     #602 793 630
Architekt s.c. Pracownia Projektowa #         architektostrowiec@op.pl     #(41) 247 33 77
Jch Biuro Handlowo - Usługowe Jerzy Chmura Autoryzowany Partner Hormann #         biuro@jch-bhu.pl     #795 134 983
Kaltex PPU Sp. z o. o. #         kaltex.kielce@kaltex.pl     #(41) 344 90 76
EA-Klima Katarzyna Walczyńska #         eaklima@interia.pl     #797 724 938
Usługi Elektroinstalacyjne SYS-CAM Kamil Grabowski #         kamilgrab.kg@gmail.com     #796 085 931
Odlewnie Polskie S.A. #         marketing@odlewniepolskie.pl     #(41) 275 86 00
Elevador Dariusz Jaworski #         kontakt@elevador.pl     #500 158 617
Widar Tech Wiesław Szuba #         widartech@vp.pl     #503 042 113
Mart-tom Tomasz Kuncik #         marttom.biuro@gmail.com     #792 664 333
Przedsiębiorstwo Wielobranżowe Order #         biuro@pworder.pl     #888 485 659
Klim-Went Piotr Gładysz #         piotr@klimwent.com.pl     #733 144 091
Krystian Tasak Usługi Montersko-Spawalnicze #         tasiu13245@gmail.com     #797 370 384
Moto Lux Sylwia Rusinowcz #         moto_lux@onet.pl     #533 544 032
Beata Pisarska-Matyjasik Usługi Sprzątające Beata #         beatamatyjasik@o2.pl     #886 599 205
Artro Artych i Sp-ka P. W. #         artro@wp.pl     #500 095 878
Wds Serwis s.c. Sebastian Tyślik Piotr Krysiak #         biuro@wds-serwis.pl     #792 994 994
Aneta Stanek Wynajem Urządzeń Budowlanych #         stanek.aneta@interia.pl     #609 603 843
RWD Wiesław Roszczypała #         rwd@rwd-opatow.pl     #667 994 020
Diamond Technik Przedsiębiorstwo usługowo-handlowe Piotr Wacek #         diamondtechnik@vp.pl     #790 870 135
Phu Zbigniew Smacki #         phuzbigniew.smacki@interia.eu     #513 703 201
Anma Firma Wielobranżowa Mariusz Machnik #         pcanma@o2.pl     #(15) 864 60 70
Teko Jacek Cuper #         teko.cuper@gmail.com     #606 553 564
Scorpion Biuro Ochrony Osób i Mienia #         ochrona@scorpion.net.pl     #(41) 248 22 20
eltraKON Komputery Wojciech P. Kowalczyk #         eltrakon@eltrakon.pl     #(41) 378 22 28
Dom-Met Przedsiębiorstwo Handlowo-Usługowe Jan Kiełbasa #         phudommet@onet.pl     #(41) 274 42 28
Voltenko Instal Karol Butenko #         voltenkoinstall@gmail.com     #504 315 314
Eco-Cleaning Magdalena Linek #         madzia.linek@onet.pl     #794 061 253
Zakład Usług Budowlano - Handlowych NOWBUD A.Nowak, E.Bracki Sp. Jawna #         biuro@nowbudkielce.pl     #(41) 368 20 79
Kancelaria Notarialna Jarosław Bech #         kancelaria@bci.pl     #507 418 052
PPHU Radek Krzysztof Tarnowski #         pphuradek27@gmail.com     #502 430 825
Rostal Pw Robert Jagodziński #         rostal@onet.eu     #(41) 356 14 75
Hurtownia Wentylacyjna Wentplast #         sklep@wentplast.pl     #606 561 500
Auto Duck Złomowanie pojazdów Ireneusz Kuźdub #         ireneusz.kuzdub@gmail.com     #608 651 920
Usługi dźwigowe Ćwik Stanisław #         uslugi.dzwigowe.cs@wp.pl     #608 161 633
Budoklam Roboty Ziemne Kielce Agata Klamka-Gaweł #         budoklam@wp.pl     #606 248 502
Karol Kędzierski Elektroślus Oporowe Elementy Grzejne #         elektroslus@onet.pl     #723 699 424
Atlant JB Jerzy Bednarski #         zakupy@siatkowy.com     #(41) 343 18 81
Zyko PPHU Zygadło P. #         p.zykosandomierz@interia.pl     #(15) 832 07 48
