Usługi Transportowe Krzysztof Zarzecki #         transport@transport-zarzecki.pl     #(32) 245 17 77
Clicktrans Sp. z o.o. #         kontakt@clicktrans.pl     #(58) 558 80 76
Libropol Przedsiębiorstwo Przewozowo Handlowe Spółka Jawna Rafał Libront Ryszard Urbanek Mirosław Libront Stefan Libront #         biuro@libropol.com.pl     #694 892 113
Raf-Mar. FHU. Wodnicki R. #         a.wodnicka11@wp.pl     #693 552 953
Tom-Trans Tomasz Głąb #         tom-trans256@o2.pl     #504 377 080
Mar-Rob Firma Budowlano-Handlowo-Usługowa Mariusz Mizak #         mar.rob@wp.pl     #600 699 808
Radex Radosław Rybka #         radex.rybka@op.pl     #696 684 953
Bestum Anna Czura #         kontaktbestum@gmail.com     #504 253 819
Krakbud Sp.j. Przedsiębiorstwo Handlowo-Usługowe Adam Krakowski Bogdan Malik #         krakbud@o2.pl     #(14) 665 33 62
Maja Bus Leszek Dyrcz #         majabus@wp.pl     #502 146 207
Północ-Południe FHU #         biuro@polnoc-poludnie.pl     #(14) 612 43 58
Edward Zalewski #         zalewski.edek@wp.pl     #604 510 904
Dawiec-Trans Jacek Dawiec #         jacekdawiec@interia.pl     #607 922 442
Marek Szpila Usługi Transportowe i Komunalne #         szpilamarek@interia.pl     #(18) 355 01 78
Fhu Mega Marek Gaj #         biuro@mega-hurt.eu     #(12) 283 04 30
Robin Zmechanizowane Roboty Ziemne Robert Radzięta #         iwonaradzieta@op.pl     #606 989 068
PMdesign Magdalena Hodurek #         biuro@pmdesign.com.pl     #508 254 200
Przewóz Towarowo-Pasażerski Transport Leszek Borgula ##(14) 652 55 19
Transport Nikola Krzysztof Nowak ##662 002 633
Morfon #         morfon@onet.pl     #604 296 932
Chor-Med F.P.H.U. Rafał Chorobik #         chorobikakcja@interia.pl     #603 605 799
Wiesław Fic Wywóz Ścieków #         wiesiekfic@gmail.com     #601 468 890
Wolbat Mirosław Gaweł #         mirekgawel@tlen.pl     #516 632 853
Rekordia Zakład usług pogrzebowych #         rekordia.krakow@gmail.com     #(12) 645 47 24
Małopolska Kolumna Transportu Sanitarnego Sp. z o.o. #         sekretariat@mkts-tarnow.pl     #(14) 621 04 98
Kul Tur Przewozy Autokarowe #         biuro@kultur.pl     #693 390 512
Nekrolog&amp;Ciągło Kompleksowe Usługi Pogrzebowe Ewelina Kruczek #         ekruczek@onet.eu     #511 035 305
Zakład Pogrzebowy Zbigniew Kwinta #         zk@zakladpogrzebowy.priv.pl     #(32) 643 06 07
Krzysztof Czepiel Usługi Remontowo-Budowlane Kris-Bud Transport Euro-Bus #         kontakt@przewoz-osob.com.pl     #510 209 754
Znicz Kompleksowe Usługi Pogrzebowe Janusz Kostuch #         zniczjanuszkostuch@interia.pl     #602 327 420
Agawa s.c. Przedsiębiorstwo Pogrzebowe Stanisław i Łukasz Bażela #         biuro@agawa.org.pl     #602 834 154
Przedsiębiorstwo Usług Komunalnych sp. z o.o. #         puk@puk.krakow.pl     #(12) 412 54 21
Wankres Zakład Pogrzebowy Jakub Żak #         wankres@onet.eu     #604 210 556
MDD Firma Handlowo-Usługowa Marek Żywczak #         zywczakm@mdd-fhu.pl     #663 733 694
Traszkan Sp.j. S.F.Z. Sroka #         biuro@traszkan.pl     #696 051 428
Stela Zakład Usług Pogrzebowych Bogumiła Boczkowska #         biuro@stelakrakow.pl     #(12) 413 02 02
Zakład Usług Pogrzebowych Lilia - Elżbieta Kruk &amp; Marcin Kruk Spółka Jawna #         biuro@liliakrakow.pl     #(12) 421 24 80
Mariusz Paniec Transport Osobowy #         mariusz@paniec.pl     #602 617 327
Nef-Line Zbigniew Kałucki Transport Międzynarodowy, Taxi #         zbigniew.kalucki1959@interia.pl     #889 523 988
Srebniccy Firma Handlowo-Usługowa Srebniccy Karol Srebnicki #         contact@srtransport.eu     #508 076 240
