CubeTrans Całodobowa Pomoc Drogowa Jakub Kaźmierczak #         cube.trans@onet.pl     #692 705 737
Usługi Transportowe Krzysztof Zarzecki #         transport@transport-zarzecki.pl     #(32) 245 17 77
Niepubliczny Zakład Opieki Zdrowotnej R Medyk #         kontakt@rmedyk.pl     #669 800 213
Krzysztof Nadobnik PHUT #         gosianadobnik@interia.pl     #(65) 512 49 20
Spedycja s.c. Katarzyna Myćka Piotr Myćka #         ac@spedycja.kalisz.pl     #(62) 764 49 45
Clicktrans Sp. z o.o. #         kontakt@clicktrans.pl     #(58) 558 80 76
TPBUS Komunikacja Gminy Tarnowo Podgórne Spółka z ograniczoną odpowiedzialnością #         zarzad@tpbus.com.pl     #(61) 814 67 92
Grinbud Zakład ogólnobudowlany Dominika Sieszchuła #         biuro@grinbud.pl     #663 007 302
Grinbud Zakład Ogólnobudowlany Dominika Sieszchuła #         biuro@grinbud.pl     #663 007 302
Fach-Dach Mateusz Jarczak #         biuro@fach-dach.pila.pl     #726 544 466
Primerent Sp. z o.o. #         biuro@primerent.pl     #534 486 859
Warbud Przedsiębiorstwo Wielobranżowe #         warbud@warbud.com.pl     #662 161 265
Maximus Spedycja Agencja Celna #         biuro@maximus-spedycja.pl     #(61) 651 73 91
Krzyś-Mar Krzysztof Juszczak i Mariusz Ściana Przedsiębiorstwo Wielobranżowe s.c. #         krzysmarsc@wp.pl     #602 772 469
Bartosz Jankowiak Roboty Ziemne #         bartoszjankowiak1@wp.pl     #665 831 860
Dorota Lewandowska Budmanufakturawnętrz #         budmanufakturawnetrz@interia.com     #516 751 898
Mila -Trans Transport Międzynarodowy Monika Urbańska #         mila.trans.office@gmail.com     #734 470 519
Żwirownia Dolata Agnieszka Dolata #         m-dolata@wp.pl     #(61) 894 46 44
Czerniak Stanisław Euro-Trans #         eurotrans51@op.pl     #(63) 233 50 13
Agencja Celna PU Ewa Ewa Nowacka-Kubzdela #         ac.ewa.kalisz@wp.pl     #691 914 753
Vladyslav Yavorskiy #         vytransport@wp.pl     #735 620 441
Piaskowiec #         biuro@jag-trans.pl     #(67) 213 54 40
Transport Krajowy I Międzynarodowy Spedycja Wiesław Solarski #         solarskitransport@poznan.home.pl     #603 126 734
Tomasz Połczyński Transport #         tomasz.polczynski@wp.pl     #601 957 083
Transport Broniarz Marzena #         kontakt@broniarztransport.pl     #519 064 898
Transport Jarosław Stawski #         jarekstawski@o2.pl     #604 775 354
Transport Piotr Krupka ##602 212 003
Transport S.C. Połczyński Mieczysław Połczyński Tomasz ##601 957 083
Transport Sławomir Hibner Usługi Przewozowe Sławomir Hibner ##501 120 562
Transport Wojciech Piniarski ##501 707 056
Związek Zawodowy Pracowników Przedsiębiorstwa Transportu Samochodowego Łączności Transport S.A. w Poznaniu ##(61) 860 47 34
Necros Sp. z o.o. #         necros@necros.pl     #602 211 083
Zakład Usług Pogrzebowych Pawlak #         biuro@pogrzebypawlak.pl     #691 777 682
Usługi Pogrzebowe Grzegorz Kwaczyński #         kwaczynskig@gmail.com     #782 544 308
Surd-Pas Dariusz Surdyk #         surdpas@gmail.com     #696 140 685
Modest. Górnik E. #         modestmt@o2.pl     #602 175 931
Pogrzeby Cmentarz Komunalny Kalisz #         michal3222@wp.pl     #667 841 367
Grochowscy Przedsiębiorstwo usługowe Edwin Grochowski #         grochowscy-przewozy@wp.pl     #602 732 519
Liberscy Spółka cywilna Kopalnia kruszywa naturalnego Żółków I Leszek Liberski, Przemysław Liberski #         przemoliber@wp.pl     #692 108 190
Cargo Plus Transport międzynarodowy Spedycja Przewóz mebli #         biuro@cargoplus.pl     #(61) 661 76 61
Julian Jaszek Transport Osobowy Przewozy Autokarowe #         przewozy@jaszek.com     #(62) 763 76 54
Tony Transport Tomasz Murach #         biuro@tonytransport.pl     #664 204 204
Firma Zehner Marzena Zehner #         biuro@zehner.com.pl     #665 550 509
Korporacja Transportowo-autokarowa Marek Malicki #         multibus@wp.pl     #608 086 648
Medcar Zabezpieczenie Imprez Masowych, Transport Medyczny Łukasz Wróbel #         lukaszwrobel30@gmail.com     #725 472 560
Andrzej Berliński Przewozy Krajowe i Zagraniczne #         przewozy_krajowe@wp.pl     #604 222 683
Grzegorz Adamczyk Usługi Transportowo-Handlowe #         adamczyk2556@interia.pl     #606 585 446
Przewóz Osób Partner-Bus Mirosław Szymański #         partnerbus@onet.pl     #691 732 181
Bakra Usługi transportowe i rolnicze Mirosława Krawczyk #         bakra@onet.pl     #606 616 364
Usługi Pogrzebowe Zakład Pogrzebowy 24H Magdalena Marcin Szwarc #         upszwarc@wp.pl     #693 362 800
Bustourist Przewozy pasażerskie Mirosław Łukaszewski #         info@bustourist.pl     #(67) 262 42 89
Serwis 99 #         serwis99biuro@wp.pl     #609 325 744
Bembnista Transport Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa #         transport.bembnista@gmail.com     #(67) 287 50 50
Omega Marcin Turkowski #         marcin.tur@onet.pl     #604 837 976
Bau-Trans PHU-W Usługi Sprzętowo-Transportowe Mariusz Kowalski #         bautrans@op.pl     #602 555 152
Łukasz Antczak #         czatek82@gmail.com     #603 180 713
Tcrj #         kontakt@tcrj.pl     #601 878 168
Jarosław Musiałowski #         musialowski87@wp.pl     #535 256 081
Miejski Zakład Komunikacji Sp. z o.o. #         mzk@mzk.chodziez.pl     #(67) 281 01 83
Darek PPHU #         dariusz_a@interia.pl     #602 450 616
Firma K&amp;K Travel Bus Koźlik Tomasz #         surftravel@tlen.pl     #602 636 239
Marian &amp; Marian Transport Maszyn Budowlanych #         marian1957@onet.eu     #601 782 233
Marek Rachwał Usługi pogrzebowe #         m1rachwal@wp.pl     #601 881 647
PUH Auto - Serwis Sebastian Kowalski Przewóz osób i elekronika pojazdowa #         smnkowalski@o2.pl     #600 391 844
Hołyś Transport Dominik Hołyś #         holys-transport@wp.pl     #501 128 538
Kade Transport Drogowy Dominik Kochanka #         Dominik.Kochanka@10g.pl     #665 798 361
Bestim Skórzewski Rektor Spółka Komandytowa #         bestim@bestim.pl     #(62) 763 10 22
Kagro #         kagro@kagro.pl     #(67) 216 03 18
Teampower Service Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa #         biuro@teampower.pl     #572 942 063
K.R.U.K. Technika I Energia Sp. Z O.O. #         kruk@zmrkruk.pl     #691 232 323
Zuzper Recykling #         biuro@zuzper.pl     #726 300 300
Jar-Kor Jarosław Korcz #         jarkor78@gmail.com     #790 305 154
BESTIM Spółka z ograniczoną odpowiedzialnością Spółka komandytowa #         bestim@bestim.pl     #(62) 763 10 22
Autoserwis Berezowscy #         berezowskiz@wp.pl     #608 386 245
Pro.Edu Michał Szcześniak #         kontakt@proedu.eu     #695 681 452
Macpol s.c. #         macpol@macpol.eu     #602 783 980
Usługi Sprzętem Budowlanym Rogala #         biuro@skrogala.pl     #605 135 700
Tp Ochrona Sp. z o.o. #         biuro@tpochrona.pl     #660 457 845
Zakład Pogrzebowy NEKROLOG Pawłowscy #         nekrolog@sereni.pl     #(67) 215 33 20
Radosław Czeszyński Pu #         radzio708@interia.pl     #691 515 879
Potyrała i Spółka Sp. j. #         poznan@potyrala.com.pl     #(61) 674 50 00
Skup Sprzedaż Cebuli #         cebula.biuro@gmail.com     #723 575 545
Konslogis sp. z o.o. #         maciej.karolczak@konslogis.pl     #606 706 819
Tatiana Smok-Gwiazdowska Pracownia psychologii #         tatiana.smok@wp.pl     #723 329 000
Jantruck Wózki Widłowe Jankowiak Sebastian #         jantruck@o2.pl     #602 131 438
Hal-Pol PHU Roman Jakób #         jakob133@wp.pl     #724 265 024
Welder - Art Technology Sp. z o.o. #         biuro@welder-arttechnology.pl     #721 121 266
Kombat Agencja Ochrony i Usług Sprzątających Łukasz Skorupiński #         agencjaochronykombat@wp.pl     #691 818 137
Transo Transport Pomoc drogowa #         kontakt@transo.com.pl     #530 709 673
Wyburzacze. Eu Sp. z o.o. #         biuro@wyburzacze.eu     #606 247 288
Paka Sp. z o.o. Sp.k. #         paka@onet.pl     #782 179 981
Cezart Sp. z o.o. - Załadunek drobiu #         biuro.cezart@gmail.com     #669 906 350
Topmix Jarosław Jankowski #         biuro@betontopmix.com     #603 500 668
Omega Brkić, Musialski, Żyto Sp.j. #         ireneusz.zyto@rondo-spolka.pl     #501 772 588
Milkon #         milkon21@gmail.com     #668 460 255
Janiak Zu Robert Janiak #         biuro@dzwigijaniak.pl     #601 722 172
Marecki Transport ciężarowy Marek Majorczyk #         marekmajorczyk@o2.pl     #501 735 814
Kopalnie Kruszyw Wiśniewscy Danuta Wiśniewska #         transport@poczta.onet.pl     #502 132 851
Alfa-Bet #         alfabetbetony@gmail.com     #604 402 234
POM Kalisz #         pomkalisz@pomkalisz.pl     #(62) 767 30 91
Zbigniew Kołodziej Przedsiębiorstwo handlowo usługowe #         zbigniew.kolodziej@poczta.onet.pl     #607 606 338
Zdzisława Kłos Firma handlowo usługowa #         prymowicz@wp.pl     #663 717 171
Tom-Kol Tomasz Ptak #         tomkolsrem@onet.pl     #606 971 532
Handel i Usługi Diesel Tomasz Gatka #         tgatka@yahoo.com     #603 130 383
Stoltur Spółka Jawna Jan i Marian Miller #         biuro@stoltur.pl     #(63) 280 26 30
Bmeko Brykczyński Sp.k. #         biuro@bmeko.com.pl     #(62) 722 57 17
Farajd Pomoc Drogowa 24h, Wynajem Lawet, Holownik, Przewóz motocykli #         farajd1@op.pl     #601 898 005
Wigor s.c. Przychodnia Lekarska #         rejestracja@przychodniawigor.pl     #451 574 944
Roman Filipek Zakład Betoniarski #         r1oman@poczta.onet.pl     #696 416 050
MD Dąbrowa Michał Dolata Kopalnia Kruszywa Naturalnego #         biuro@mdolata.pl     #(61) 894 46 44
Transbud Krzysztof Jędrzejczak #         transbud1977@gmail.com     #669 168 321
